idx,time_ms,accuracy,compute_similarities_with_state_decision_0,compute_similarities_with_state_decision_1,compute_similarities_with_state_threshold_0,parse_embedding_decision_0,parse_embedding_decision_1,parse_embedding_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,qos_loss,exact_accuracy
1,6884.817197,0.402095,0,0,0,0,0,0,0,0,0,0.000000,0.402000
2,5309.732669,0.402095,0,0,0,1,1,0,0,0,0,0.000000,0.402000
3,4730.714600,0.399381,0,0,0,2,2,0,0,0,0,0.002619,0.402000
4,6421.513711,0.353714,1,1,0,0,0,0,0,0,0,0.048286,0.402000
5,5031.925770,0.353714,1,1,0,1,1,0,0,0,0,0.048286,0.402000
6,4492.645775,0.366714,1,1,0,2,2,0,0,0,0,0.035286,0.402000
7,5959.378207,0.368286,2,2,0,0,0,0,0,0,0,0.033714,0.402000
8,4712.047126,0.368286,2,2,0,1,1,0,0,0,0,0.033714,0.402000
9,4248.215114,0.390429,2,2,0,2,2,0,0,0,0,0.011571,0.402000
19,6887.326385,0.402095,0,0,0,0,0,0,0,0,0,0.000000,0.402000
