idx,time_ms,accuracy,count_and_lower_words_decision_0,count_and_lower_words_decision_1,count_and_lower_words_threshold_0,lowering_corpus_decision_0,lowering_corpus_decision_1,lowering_corpus_threshold_0,score_term_over_docs_decision_0,score_term_over_docs_decision_1,score_term_over_docs_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,qos_loss,exact_accuracy
1,38476.414061,0.489524,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.485000
2,30637.585594,0.489524,1,1,0,0,0,0,0,0,0,0,0,0,0.000000,0.485000
3,30149.395582,0.458667,1,1,0,0,0,0,1,1,0,0,0,0,0.026333,0.485000
4,29454.788833,0.401524,1,1,0,0,0,0,2,2,0,0,0,0,0.083476,0.485000
5,26669.191349,0.378667,1,1,0,1,1,0,0,0,0,0,0,0,0.106333,0.485000
6,26063.909445,0.394857,1,1,0,1,1,0,1,1,0,0,0,0,0.090143,0.485000
7,25678.147336,0.378667,1,1,0,1,1,0,2,2,0,0,0,0,0.106333,0.485000
8,22727.111880,0.350095,1,1,0,2,2,0,0,0,0,0,0,0,0.134905,0.485000
9,22348.749726,0.394857,1,1,0,2,2,0,1,1,0,0,0,0,0.090143,0.485000
10,21861.151371,0.352952,1,1,0,2,2,0,2,2,0,0,0,0,0.132048,0.485000
11,17461.985869,0.329524,1,1,0,3,3,0,0,0,0,0,0,0,0.155476,0.485000
12,17268.146163,0.450095,1,1,0,3,3,0,1,1,0,0,0,0,0.034905,0.485000
13,16881.859730,0.360952,1,1,0,3,3,0,2,2,0,0,0,0,0.124048,0.485000
14,36837.500180,0.489524,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.485000
1,38527.220720,0.489524,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.485000
2,30659.720761,0.489524,1,1,0,0,0,0,0,0,0,0,0,0,0.000000,0.485000
3,30151.878587,0.458667,1,1,0,0,0,0,1,1,0,0,0,0,0.026333,0.485000
4,29488.185388,0.401524,1,1,0,0,0,0,2,2,0,0,0,0,0.083476,0.485000
5,26705.069179,0.378667,1,1,0,1,1,0,0,0,0,0,0,0,0.106333,0.485000
6,26051.880252,0.394857,1,1,0,1,1,0,1,1,0,0,0,0,0.090143,0.485000
7,25677.786755,0.378667,1,1,0,1,1,0,2,2,0,0,0,0,0.106333,0.485000
8,22757.433153,0.350095,1,1,0,2,2,0,0,0,0,0,0,0,0.134905,0.485000
9,22378.341122,0.377714,1,1,0,2,2,0,1,1,0,0,0,0,0.107286,0.485000
10,21893.621485,0.350095,1,1,0,2,2,0,2,2,0,0,0,0,0.134905,0.485000
11,17462.310310,0.369524,1,1,0,3,3,0,0,0,0,0,0,0,0.115476,0.485000
12,17306.426889,0.450095,1,1,0,3,3,0,1,1,0,0,0,0,0.034905,0.485000
13,16911.404362,0.320952,1,1,0,3,3,0,2,2,0,0,0,0,0.164048,0.485000
14,36874.782500,0.489524,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.485000
