idx,time_ms,accuracy,compute_similarities_with_state_decision_0,compute_similarities_with_state_decision_1,compute_similarities_with_state_threshold_0,parse_embedding_decision_0,parse_embedding_decision_1,parse_embedding_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,qos_loss,exact_accuracy
1,7411.281211,0.481101,0,0,0,0,0,0,0,0,0,0.000000,0.402000
2,5322.982291,0.481101,0,0,0,1,1,0,0,0,0,0.000000,0.402000
3,4760.776364,0.467767,0,0,0,2,2,0,0,0,0,0.000000,0.402000
4,6162.695739,0.426053,1,1,0,0,0,0,0,0,0,0.000000,0.402000
5,4851.799296,0.426053,1,1,0,1,1,0,0,0,0,0.000000,0.402000
6,4340.074538,0.419386,1,1,0,2,2,0,0,0,0,0.000000,0.402000
7,5493.450645,0.377810,2,2,0,0,0,0,0,0,0,0.024190,0.402000
8,4364.749146,0.377810,2,2,0,1,1,0,0,0,0,0.024190,0.402000
9,3964.994571,0.384476,2,2,0,2,2,0,0,0,0,0.017524,0.402000
10,6822.953463,0.481101,0,0,0,0,0,0,0,0,0,0.000000,0.402000
