time_ms,accuracy,count_and_lower_words_decision_0,count_and_lower_words_decision_1,count_and_lower_words_threshold_0,lowering_corpus_decision_0,lowering_corpus_decision_1,lowering_corpus_threshold_0,score_term_over_docs_decision_0,score_term_over_docs_decision_1,score_term_over_docs_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,qos_loss,exact_accuracy
29101.230278,0.358532,1,1,7,3,0,5,2,0,26,0,1,9,0.021468,0.380000
19805.182259,0.373909,1,1,7,3,2,5,2,0,26,0,1,9,0.006091,0.380000
14861.848906,0.342803,1,1,11,3,3,5,2,0,27,0,1,9,0.037197,0.380000
29096.987308,0.324881,1,0,261,2,1,5,0,1,14,0,1,10,0.055119,0.380000
32484.273313,0.130754,1,0,311,0,0,4,0,0,13,0,1,6,0.249246,0.380000
14785.148629,0.342803,1,1,2,2,3,5,2,0,27,0,1,9,0.037197,0.380000
14827.395721,0.342803,1,1,2,2,3,4,2,0,27,0,1,9,0.037197,0.380000
14955.649426,0.342803,1,1,4,2,3,5,2,0,27,0,1,10,0.037197,0.380000
29260.492860,0.382222,0,0,716,1,1,2,0,0,5,1,0,2,0.000000,0.380000
19768.875308,0.382242,1,1,2,2,2,5,2,0,27,0,1,9,0.000000,0.380000
14810.517723,0.324946,1,1,2,2,3,5,2,0,29,0,1,9,0.055054,0.380000
14974.711777,0.342803,1,1,1,2,3,4,2,0,27,0,1,9,0.037197,0.380000
15468.874925,0.298611,1,1,18,1,3,5,0,0,5,0,0,2,0.081389,0.380000
12736.046739,0.030556,1,1,2,1,3,1,2,0,27,0,1,2,0.349444,0.380000
14552.367738,0.292803,1,1,2,2,3,5,2,0,28,0,1,8,0.087197,0.380000
22074.590227,0.012698,0,0,6,3,2,4,1,2,2,1,0,10,0.367302,0.380000
15057.261155,0.289365,1,1,186,2,3,5,1,0,36,0,1,9,0.090635,0.380000
14834.145892,0.342803,1,1,1,2,3,5,2,0,27,0,1,9,0.037197,0.380000
17578.963592,0.005556,1,1,10,2,2,2,2,2,33,1,0,10,0.374444,0.380000
14711.788964,0.292803,1,1,1,2,3,4,2,0,27,0,1,8,0.087197,0.380000
19850.124325,0.284425,0,1,1,1,2,5,2,2,38,1,0,2,0.095575,0.380000
19768.647633,0.385099,1,1,2,2,2,5,2,0,32,0,1,9,0.000000,0.380000
14687.963819,0.333279,1,1,2,2,3,5,2,0,31,0,1,9,0.046721,0.380000
14628.072109,0.292803,1,1,2,3,3,5,2,0,27,0,1,8,0.087197,0.380000
15178.886909,0.268333,1,1,2,2,3,5,1,0,31,0,1,9,0.111667,0.380000
14798.031812,0.344147,1,1,2,2,3,5,2,0,36,0,1,9,0.035853,0.380000
14864.938433,0.333279,1,1,2,2,3,5,2,0,31,0,1,10,0.046721,0.380000
14906.228470,0.330754,1,1,2,2,3,5,2,0,32,0,1,9,0.049246,0.380000
22939.236772,0.005000,1,0,96,0,2,4,1,1,30,1,1,10,0.375000,0.380000
21952.436449,0.005000,1,0,86,0,2,4,1,1,30,1,1,10,0.375000,0.380000
28510.590811,0.390556,1,1,28,2,0,2,2,1,10,1,0,0,0.000000,0.380000
33147.106808,0.244444,0,0,18,3,0,5,0,0,13,1,0,6,0.135556,0.380000
27457.300776,0.390556,1,1,36,2,0,2,2,1,8,1,0,0,0.000000,0.380000
17909.327859,0.000000,1,1,449,3,2,3,2,1,12,1,1,10,0.380000,0.380000
27285.913301,0.381944,0,1,36,2,0,2,2,1,25,1,0,5,0.000000,0.380000
26442.682120,0.351944,0,1,36,2,0,2,2,1,15,1,0,6,0.028056,0.380000
26881.117901,0.351944,0,1,38,2,0,2,2,1,15,1,0,6,0.028056,0.380000
28006.307153,0.415556,0,1,1,2,0,2,1,1,15,1,0,4,0.000000,0.380000
14123.242490,0.191224,0,1,51,2,3,2,2,1,15,1,0,6,0.188776,0.380000
26605.425030,0.301944,0,1,69,2,0,2,2,1,13,1,0,6,0.078056,0.380000
27173.307504,0.440556,0,1,36,1,0,2,2,1,15,1,0,1,0.000000,0.380000
31921.897805,0.007143,0,0,4,3,0,3,0,0,39,1,1,5,0.372857,0.380000
26475.915531,0.301944,0,1,67,2,0,2,2,1,15,1,0,6,0.078056,0.380000
19151.739383,0.230754,0,1,36,2,2,2,2,1,15,1,0,6,0.149246,0.380000
26788.822971,0.326944,0,1,25,2,0,2,2,1,15,1,0,6,0.053056,0.380000
27375.021061,0.428056,0,1,36,1,0,2,2,1,19,1,0,4,0.000000,0.380000
26276.799483,0.032143,1,1,1,1,0,2,0,2,32,1,1,1,0.347857,0.380000
27504.803694,0.440556,0,1,36,2,0,2,2,1,15,1,0,3,0.000000,0.380000
26672.412254,0.196111,0,1,25,2,0,2,1,1,15,1,0,7,0.183889,0.380000
25917.247496,0.111250,0,1,36,3,0,2,2,0,15,1,0,8,0.268750,0.380000
23467.159400,0.168254,0,0,3,3,2,3,1,0,28,1,0,7,0.211746,0.380000
22408.742142,0.014835,0,1,1,0,1,2,2,0,18,0,1,3,0.365165,0.380000
24697.898253,0.331151,0,1,1,0,1,2,2,0,18,0,1,9,0.048849,0.380000
12887.015387,0.005556,0,1,36,0,3,1,2,0,25,1,1,1,0.374444,0.380000
23653.795183,0.307976,0,1,1,0,1,2,2,0,17,0,1,9,0.072024,0.380000
23995.883154,0.328393,0,1,1,0,1,2,2,0,7,0,1,9,0.051607,0.380000
31665.329940,0.080391,0,0,5,1,0,4,1,1,6,0,1,5,0.299609,0.380000
23592.828747,0.331151,0,1,1,1,1,2,2,0,18,0,1,9,0.048849,0.380000
23493.859175,0.331151,1,1,1,1,1,2,2,0,18,0,1,9,0.048849,0.380000
23626.233159,0.331151,1,1,1,1,1,2,2,0,19,0,1,9,0.048849,0.380000
19938.588472,0.376687,1,1,1,1,2,2,2,0,18,0,1,9,0.003313,0.380000
19770.876187,0.284425,1,1,1,1,2,5,2,2,16,0,1,9,0.095575,0.380000
19961.558562,0.399385,1,1,1,1,2,2,2,0,29,0,1,9,0.000000,0.380000
20028.077214,0.369544,1,1,1,1,2,2,2,0,11,0,1,9,0.010456,0.380000
20265.415782,0.345139,0,1,2,1,2,3,1,2,34,1,0,1,0.034861,0.380000
25403.833768,0.036250,1,1,1,1,0,2,2,0,18,1,0,9,0.343750,0.380000
24112.660247,0.360992,1,0,1,1,2,2,2,0,18,0,1,9,0.019008,0.380000
19968.121575,0.376687,1,1,1,1,2,2,2,0,18,0,0,6,0.003313,0.380000
20886.261841,0.373909,0,1,6,3,2,3,2,0,23,0,0,3,0.006091,0.380000
20825.809074,0.345734,1,1,1,1,2,3,0,0,18,0,1,9,0.034266,0.380000
17825.184439,0.019643,1,1,2,1,2,4,2,0,33,1,0,9,0.360357,0.380000
18149.096088,0.302282,1,0,66,3,3,3,1,1,28,0,0,9,0.077718,0.380000
19876.834768,0.394544,1,1,1,1,2,2,2,0,1,0,1,9,0.000000,0.380000
19289.477195,0.284425,1,1,1,1,2,2,2,2,1,0,0,9,0.095575,0.380000
24252.393357,0.395516,1,0,1,1,2,2,2,0,1,0,1,9,0.000000,0.380000
20576.660479,0.327282,1,1,1,1,2,2,2,1,26,0,1,9,0.052718,0.380000
16755.008814,0.263889,1,1,39,0,3,1,0,2,34,1,0,5,0.116111,0.380000
14779.510677,0.291369,1,1,39,0,3,1,2,2,34,0,0,5,0.088631,0.380000
15140.769256,0.291369,1,1,41,0,3,1,2,2,34,0,0,5,0.088631,0.380000
22299.100841,0.082143,0,1,1,0,1,4,1,0,27,1,0,8,0.297857,0.380000
23214.393953,0.275098,0,1,39,0,1,1,2,2,34,1,0,5,0.104902,0.380000
20343.679921,0.349861,1,1,1,2,2,5,0,2,27,0,0,10,0.030139,0.380000
31389.175888,0.030391,0,0,55,2,0,1,1,1,8,1,1,7,0.349609,0.380000
31179.064500,0.022698,0,0,567,3,0,1,2,1,5,1,1,8,0.357302,0.380000
28042.959245,0.314087,1,1,1,2,0,5,0,2,27,0,0,10,0.065913,0.380000
13515.164458,0.053750,1,1,92,1,3,4,1,1,20,0,1,5,0.326250,0.380000
24096.500450,0.329167,0,1,446,2,1,3,1,2,34,0,0,2,0.050833,0.380000
20290.724524,0.338472,1,1,1,2,2,2,0,1,27,0,0,10,0.041528,0.380000
24039.653185,0.354067,1,1,519,2,1,5,1,0,3,1,0,4,0.025933,0.380000
24637.866282,0.359623,1,1,1,2,1,5,0,1,27,0,1,10,0.020377,0.380000
21266.818840,0.036765,1,1,287,1,1,1,2,2,9,1,1,0,0.343235,0.380000
20458.943698,0.333194,1,1,1,2,2,4,0,2,26,0,0,10,0.046806,0.380000
13323.955201,0.080748,0,1,3,0,3,4,0,2,26,1,1,0,0.299252,0.380000
13292.871117,0.030000,0,1,242,0,3,2,0,1,34,1,1,3,0.350000,0.380000
20159.241474,0.349861,0,1,1,2,2,5,0,2,27,0,0,10,0.030139,0.380000
20098.262860,0.361290,0,1,2,2,2,5,0,1,14,0,0,10,0.018710,0.380000
20213.290146,0.332837,0,1,2,2,2,5,1,1,39,0,0,10,0.047163,0.380000
20956.031464,0.350694,0,1,2,2,2,1,0,1,3,0,0,1,0.029306,0.380000
18488.695087,0.005556,0,1,2,2,2,5,0,1,14,0,1,4,0.374444,0.380000
21039.496801,0.345734,1,1,2,2,2,5,0,0,14,0,0,10,0.034266,0.380000
22097.124494,0.067143,0,1,2,3,1,5,0,1,10,1,1,10,0.312857,0.380000
20142.532095,0.361290,0,1,14,2,2,5,0,1,14,0,0,10,0.018710,0.380000
29518.120870,0.391806,0,0,75,3,1,4,2,2,23,0,0,6,0.000000,0.380000
33347.123407,0.398889,1,0,133,0,0,2,2,1,37,0,0,0,0.000000,0.380000
28532.785436,0.391806,0,0,227,3,1,4,2,2,23,0,0,6,0.000000,0.380000
28769.778571,0.391806,0,0,227,3,1,4,2,2,23,0,0,10,0.000000,0.380000
16931.213055,0.000000,1,0,258,3,3,5,1,1,26,1,1,10,0.380000,0.380000
28575.673590,0.391806,0,0,132,3,1,4,2,2,23,0,0,8,0.000000,0.380000
28454.497441,0.391806,0,0,765,3,1,4,2,2,23,0,0,6,0.000000,0.380000
28501.703719,0.391806,0,0,765,3,1,4,2,2,23,0,0,5,0.000000,0.380000
28452.648972,0.391806,0,0,765,3,1,4,2,2,21,0,0,6,0.000000,0.380000
29038.924604,0.391806,0,0,715,3,1,5,2,2,21,0,0,6,0.000000,0.380000
28612.446832,0.391806,0,0,449,3,1,4,2,2,21,0,0,6,0.000000,0.380000
20453.464568,0.327282,1,1,37,1,2,5,1,1,21,0,0,6,0.052718,0.380000
28459.808228,0.391806,0,0,765,3,1,4,2,2,30,0,0,6,0.000000,0.380000
28696.995067,0.391806,0,0,765,3,1,4,2,2,21,0,0,7,0.000000,0.380000
25636.443831,0.067143,1,1,1,2,0,5,2,1,14,0,1,5,0.312857,0.380000
28390.605407,0.391806,0,0,874,3,1,4,2,2,21,0,0,6,0.000000,0.380000
28299.216552,0.391806,0,0,874,2,1,4,2,2,21,0,0,9,0.000000,0.380000
28624.999297,0.391806,0,0,874,2,1,4,2,2,22,0,0,9,0.000000,0.380000
28494.612444,0.391806,0,0,960,2,1,4,2,2,21,0,0,9,0.000000,0.380000
28614.323956,0.391806,0,0,874,1,1,4,2,2,21,0,0,9,0.000000,0.380000
23934.489267,0.302361,0,0,205,2,2,4,2,2,18,0,0,8,0.077639,0.380000
28420.731114,0.391806,0,0,874,3,1,4,2,2,21,0,0,9,0.000000,0.380000
19250.172547,0.012692,0,1,38,0,2,5,2,1,4,1,1,1,0.367308,0.380000
35002.653109,0.433333,0,0,5,2,0,3,0,1,14,0,0,8,0.000000,0.380000
23898.891344,0.352778,0,1,83,1,1,2,2,1,9,1,0,0,0.027222,0.380000
34281.863043,0.433333,0,0,5,2,0,2,0,1,14,0,0,0,0.000000,0.380000
34360.493277,0.408333,0,0,5,2,0,2,0,1,12,0,0,0,0.000000,0.380000
27840.888715,0.415556,0,1,5,2,0,2,1,1,14,0,0,0,0.000000,0.380000
26140.235060,0.024286,0,1,2,3,0,2,0,1,36,1,1,2,0.355714,0.380000
27237.304481,0.236587,0,1,5,2,0,2,1,1,14,0,1,7,0.143413,0.380000
33989.367023,0.425397,0,0,5,2,0,2,1,1,14,1,0,0,0.000000,0.380000
28164.235311,0.415556,0,1,5,2,0,3,1,1,14,0,0,0,0.000000,0.380000
24530.826723,0.327282,0,0,6,3,2,2,1,1,39,0,1,9,0.052718,0.380000
28347.171627,0.359722,0,1,5,2,0,2,1,0,3,0,0,0,0.020278,0.380000
27936.050576,0.415556,0,1,1,2,0,2,1,1,14,0,0,0,0.000000,0.380000
28148.946089,0.415556,0,1,5,2,0,2,1,1,20,0,0,0,0.000000,0.380000
