time_ms,accuracy,count_and_lower_words_decision_0,count_and_lower_words_decision_1,count_and_lower_words_threshold_0,lowering_corpus_decision_0,lowering_corpus_decision_1,lowering_corpus_threshold_0,score_term_over_docs_decision_0,score_term_over_docs_decision_1,score_term_over_docs_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,idx,qos_loss,exact_accuracy
19459.536909,0.011429,1,1,1,3,1,2,0,2,15,1,1,1,,0.473571,0.485000
25874.382317,0.040000,0,1,499,0,0,5,1,1,30,1,1,2,,0.445000,0.485000
22973.369876,0.192952,0,0,51,3,2,1,0,1,8,0,1,7,,0.292048,0.485000
26528.314866,0.469524,1,0,435,0,3,4,2,0,36,1,0,3,,0.015476,0.485000
28269.272683,0.469524,1,0,435,0,3,4,2,0,36,1,0,4,,0.015476,0.485000
32581.151903,0.352381,0,0,1,0,3,5,0,1,28,0,0,5,,0.132619,0.485000
30196.388618,0.352381,1,0,1,0,3,5,0,1,28,0,0,5,,0.132619,0.485000
21969.234245,0.024762,0,1,34,2,1,1,2,0,21,1,1,3,,0.460238,0.485000
29398.591879,0.392381,1,0,1,0,3,5,0,1,21,0,0,5,,0.092619,0.485000
31717.735922,0.460952,0,0,1,0,3,5,1,1,21,0,0,5,,0.024048,0.485000
16853.045904,0.017778,1,0,24,3,1,5,1,0,23,0,1,4,,0.467222,0.485000
32812.736208,0.469524,0,0,1,0,3,5,1,1,18,0,0,4,,0.015476,0.485000
31947.737354,0.442857,0,0,1,0,3,5,1,1,37,0,0,10,,0.042143,0.485000
33522.358149,0.429524,0,0,1,0,1,5,1,1,21,0,0,5,,0.055476,0.485000
31229.261326,0.085079,1,0,87,0,0,2,1,2,3,1,0,9,,0.399921,0.485000
28185.762372,0.033651,0,0,16,2,1,1,2,0,20,0,1,5,,0.451349,0.485000
26440.971434,0.060317,1,0,186,2,1,1,2,0,20,0,1,5,,0.424683,0.485000
27157.586317,0.049651,1,0,264,1,1,1,2,0,20,0,1,5,,0.435349,0.485000
23858.381629,0.053333,0,0,120,3,1,2,1,2,1,0,1,4,,0.431667,0.485000
25713.482834,0.486667,1,1,34,3,0,1,1,2,18,0,0,4,,0.000000,0.485000
32544.451863,0.406667,1,0,34,2,0,1,0,2,13,0,0,4,,0.078333,0.485000
20443.472639,0.033651,0,1,1,2,1,2,2,0,27,1,1,6,,0.451349,0.485000
21210.435696,0.340889,1,1,1,2,1,3,1,2,40,1,0,6,,0.144111,0.485000
23282.408104,0.434286,1,1,34,3,1,1,1,2,38,0,0,8,,0.050714,0.485000
17950.502642,0.020317,1,1,4,2,2,4,2,1,26,1,1,7,,0.464683,0.485000
20844.417910,0.031111,0,1,760,1,2,4,1,2,33,0,1,1,,0.453889,0.485000
30426.900380,0.278667,0,0,165,0,2,4,0,0,30,0,1,7,,0.206333,0.485000
33833.239784,0.369524,0,0,165,0,1,4,0,0,30,0,1,7,,0.115476,0.485000
32840.701951,0.501524,0,0,165,0,1,4,0,0,30,0,1,9,,0.000000,0.485000
24074.953497,0.345524,0,0,52,3,2,1,2,0,3,0,0,5,,0.139476,0.485000
29978.554564,0.020317,0,0,39,0,3,5,0,0,4,1,0,10,,0.464683,0.485000
31108.063406,0.020317,0,0,165,0,1,4,0,0,30,1,1,9,,0.464683,0.485000
33188.220038,0.489524,0,0,165,0,1,4,0,0,28,0,1,9,,0.000000,0.485000
29029.900156,0.406667,1,0,16,1,1,1,2,1,27,0,1,8,,0.078333,0.485000
