time_ms,accuracy,compute_similarities_with_state_decision_0,compute_similarities_with_state_decision_1,compute_similarities_with_state_threshold_0,parse_embedding_decision_0,parse_embedding_decision_1,parse_embedding_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,qos_loss,exact_accuracy
6030.343198,0.485480,0,2,4,1,1,1,0,0,6,0.000000,0.460000
7930.496243,0.485480,0,2,5,1,1,1,0,0,6,0.000000,0.460000
8038.648426,0.485480,0,2,5,1,1,2,0,0,6,0.000000,0.460000
8077.471394,0.485480,0,2,3,1,1,1,0,0,6,0.000000,0.460000
6116.716962,0.485480,0,2,4,1,1,3,0,0,6,0.000000,0.460000
8082.602170,0.485480,0,2,4,1,1,1,0,0,8,0.000000,0.460000
8143.001436,0.485480,0,2,4,1,1,2,0,0,4,0.000000,0.460000
7371.629213,0.485480,0,2,2,1,1,1,0,0,5,0.000000,0.460000
6625.617783,0.485480,0,2,5,1,1,1,0,0,5,0.000000,0.460000
6933.441390,0.485480,0,2,4,0,1,1,0,0,6,0.000000,0.460000
6382.694602,0.485480,0,2,4,1,1,1,0,0,7,0.000000,0.460000
6472.899644,0.485480,0,2,4,1,1,2,0,0,7,0.000000,0.460000
6112.372669,0.485480,0,2,4,1,2,2,0,0,7,0.000000,0.460000
7587.827440,0.460480,0,2,4,2,1,1,0,0,6,0.000000,0.460000
6381.702592,0.444091,0,1,4,1,1,1,0,0,4,0.015909,0.460000
6194.147663,0.485480,0,2,4,1,1,4,0,0,6,0.000000,0.460000
6710.603584,0.444091,0,1,4,1,1,1,0,0,6,0.015909,0.460000
6625.599631,0.485480,0,2,4,1,1,4,0,0,8,0.000000,0.460000
6576.675207,0.485480,0,2,4,1,1,1,0,0,4,0.000000,0.460000
7588.164988,0.485480,0,2,5,1,1,3,0,0,6,0.000000,0.460000
6317.145692,0.485480,1,2,4,1,1,2,0,0,6,0.000000,0.460000
7273.567068,0.485480,0,2,3,1,1,1,0,0,5,0.000000,0.460000
6544.848760,0.485480,0,2,4,1,1,2,0,0,8,0.000000,0.460000
6231.472799,0.485480,0,2,3,1,2,1,0,0,6,0.000000,0.460000
5763.992252,0.485480,0,2,4,1,2,1,0,0,5,0.000000,0.460000
6518.234366,0.485480,0,2,4,1,2,1,0,0,4,0.000000,0.460000
6750.605669,0.485480,0,2,4,1,2,2,0,0,4,0.000000,0.460000
7196.069285,0.485480,0,2,4,1,2,2,0,0,5,0.000000,0.460000
6306.650094,0.485480,0,2,4,0,2,2,0,0,5,0.000000,0.460000
5789.341351,0.485480,0,2,3,1,2,1,0,0,5,0.000000,0.460000
6508.628992,0.485480,0,2,5,1,2,1,0,0,6,0.000000,0.460000
