time_ms,accuracy,compute_similarities_with_state_decision_0,compute_similarities_with_state_decision_1,compute_similarities_with_state_threshold_0,parse_embedding_decision_0,parse_embedding_decision_1,parse_embedding_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,idx,qos_loss,exact_accuracy
4975.820533,0.151127,1,0,4,0,0,8,0,1,1,,0.250873,0.402000
4040.966742,0.317341,2,1,1,0,1,1,1,0,5,,0.084659,0.402000
3782.313650,0.296873,2,1,3,0,1,1,1,0,5,,0.105127,0.402000
4933.848053,0.399381,0,0,3,2,0,9,0,0,5,,0.002619,0.402000
4113.372928,0.389452,2,2,2,2,1,7,0,1,8,,0.012548,0.402000
3458.897461,0.243508,2,1,1,0,1,1,1,0,6,,0.158492,0.402000
4112.817215,0.317341,2,1,1,0,1,2,1,0,5,,0.084659,0.402000
5416.318445,0.377929,2,2,1,0,0,6,0,0,9,,0.024071,0.402000
4166.265158,0.147263,0,1,2,0,1,6,0,1,3,,0.254737,0.402000
4221.985496,0.338786,2,1,1,0,1,1,1,0,4,,0.063214,0.402000
4224.581973,0.396000,2,2,3,2,1,3,0,0,3,,0.006000,0.402000
3616.521497,0.273587,0,2,1,0,1,1,1,0,5,,0.128413,0.402000
2772.461019,0.216135,2,2,2,2,2,10,0,1,4,,0.185865,0.402000
5424.925393,0.367595,0,2,4,1,0,7,0,0,10,,0.034405,0.402000
3445.033858,0.272873,2,2,1,0,1,1,1,0,5,,0.129127,0.402000
4328.265598,0.153079,2,1,2,0,0,8,0,1,3,,0.248921,0.402000
3714.791898,0.296071,2,1,2,1,1,1,1,0,5,,0.105929,0.402000
4381.056692,0.192357,1,0,3,1,0,3,0,1,3,,0.209643,0.402000
5968.687694,0.318970,1,0,3,0,0,4,0,1,6,,0.083030,0.402000
4794.828019,0.392952,2,1,5,2,0,5,0,0,0,,0.009048,0.402000
4665.100860,0.295484,2,1,1,0,2,8,1,0,5,,0.106516,0.402000
2239.892659,0.178159,1,2,1,2,1,7,1,1,10,,0.223841,0.402000
5125.659481,0.353786,1,0,4,1,0,8,0,1,7,,0.048214,0.402000
4101.804767,0.385929,2,2,2,0,2,1,1,0,0,,0.016071,0.402000
5236.883766,0.344595,1,2,1,1,0,1,1,0,1,,0.057405,0.402000
3604.725487,0.222794,2,1,1,0,1,2,1,0,6,,0.179206,0.402000
4085.686050,0.307484,2,1,1,0,2,4,1,0,5,,0.094516,0.402000
4852.878948,0.155770,1,0,4,0,0,8,0,1,1,,0.246230,0.402000
3988.840039,0.312619,2,1,1,0,1,1,1,0,5,,0.089381,0.402000
3873.563598,0.296397,2,1,3,0,1,1,1,0,5,,0.105603,0.402000
4929.371371,0.400095,0,0,3,2,0,9,0,0,5,,0.001905,0.402000
4110.691494,0.388976,2,2,2,2,1,7,0,1,8,,0.013024,0.402000
4071.667466,0.388976,2,2,2,2,1,7,0,1,9,,0.013024,0.402000
2776.663128,0.228992,2,2,2,2,2,10,0,1,4,,0.173008,0.402000
4352.150669,0.391595,2,1,2,2,1,7,0,1,9,,0.010405,0.402000
5439.215013,0.377452,2,2,1,0,0,6,0,0,9,,0.024548,0.402000
4166.376649,0.179406,0,1,2,0,1,6,0,1,3,,0.222594,0.402000
4158.437085,0.398976,2,2,2,2,1,8,0,1,9,,0.003024,0.402000
4436.999374,0.175135,1,0,3,1,0,3,0,1,3,,0.226865,0.402000
4245.463820,0.395524,2,2,3,2,1,3,0,0,3,,0.006476,0.402000
4077.115674,0.388976,2,2,1,2,1,7,0,1,9,,0.013024,0.402000
5393.555883,0.396452,0,2,4,1,0,7,0,0,10,,0.005548,0.402000
3670.642975,0.312881,2,2,2,2,1,7,0,1,6,,0.089119,0.402000
4787.390088,0.406524,2,1,5,2,0,5,0,0,0,,0.000000,0.402000
4330.769391,0.197317,2,1,2,0,0,8,0,1,3,,0.204683,0.402000
4271.447635,0.398738,2,1,3,2,1,7,0,1,9,,0.003262,0.402000
5057.630636,0.345786,1,0,4,1,0,8,0,1,7,,0.056214,0.402000
6009.633043,0.336882,1,0,3,0,0,4,0,1,6,,0.065118,0.402000
2205.475782,0.191016,2,2,2,2,1,7,1,1,9,,0.210984,0.402000
2258.793614,0.181016,1,2,1,2,1,7,1,1,10,,0.220984,0.402000
4076.190597,0.398976,2,2,2,2,1,8,0,1,10,,0.003024,0.402000
5671.027238,0.385929,1,1,1,0,2,8,1,0,1,,0.016071,0.402000
4081.527337,0.388976,2,2,2,2,1,7,0,1,10,,0.013024,0.402000
5274.473753,0.378119,1,2,1,1,0,1,1,0,1,,0.023881,0.402000
3379.993334,0.201802,0,0,1,2,1,2,0,1,1,,0.200198,0.402000
4078.534539,0.388976,2,2,3,2,1,7,0,1,9,,0.013024,0.402000
4848.945668,0.151127,1,0,4,0,0,8,0,1,1,,0.250873,0.402000
3983.877330,0.317341,2,1,1,0,1,1,1,0,5,,0.084659,0.402000
3791.567865,0.296873,2,1,3,0,1,1,1,0,5,,0.105127,0.402000
4914.988647,0.399381,0,0,3,2,0,9,0,0,5,,0.002619,0.402000
4090.708689,0.389452,2,2,2,2,1,7,0,1,8,,0.012548,0.402000
