idx,time_ms,accuracy,count_and_lower_words_decision_0,count_and_lower_words_decision_1,count_and_lower_words_threshold_0,lowering_corpus_decision_0,lowering_corpus_decision_1,lowering_corpus_threshold_0,score_term_over_docs_decision_0,score_term_over_docs_decision_1,score_term_over_docs_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,qos_loss,exact_accuracy
1,33732.999000,0.485000,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.485000
2,33330.703000,0.464000,0,0,0,0,0,0,1,1,0,0,0,0,0.021000,0.485000
3,32694.034000,0.451000,0,0,0,0,0,0,2,2,0,0,0,0,0.034000,0.485000
4,29019.498000,0.456000,0,0,0,1,1,0,0,0,0,0,0,0,0.029000,0.485000
5,28572.251000,0.469000,0,0,0,1,1,0,1,1,0,0,0,0,0.016000,0.485000
6,28080.003000,0.418000,0,0,0,1,1,0,2,2,0,0,0,0,0.067000,0.485000
7,24270.762000,0.406000,0,0,0,2,2,0,0,0,0,0,0,0,0.079000,0.485000
8,23947.415000,0.404000,0,0,0,2,2,0,1,1,0,0,0,0,0.081000,0.485000
9,23505.124000,0.449000,0,0,0,2,2,0,2,2,0,0,0,0,0.036000,0.485000
10,17942.068000,0.379000,0,0,0,3,3,0,0,0,0,0,0,0,0.106000,0.485000
11,17688.032000,0.367000,0,0,0,3,3,0,1,1,0,0,0,0,0.118000,0.485000
12,17374.004000,0.366000,0,0,0,3,3,0,2,2,0,0,0,0,0.119000,0.485000
13,34922.903808,0.471238,0,0,0,0,0,0,0,0,0,0,0,0,0.013762,0.485000
14,27761.509202,0.451714,1,1,0,0,0,0,0,0,0,0,0,0,0.033286,0.485000
15,27337.883647,0.442905,1,1,0,0,0,0,1,1,0,0,0,0,0.042095,0.485000
16,26649.169642,0.430714,1,1,0,0,0,0,2,2,0,0,0,0,0.054286,0.485000
17,24160.180388,0.430762,1,1,0,1,1,0,0,0,0,0,0,0,0.054238,0.485000
18,25610.260525,0.468857,1,1,0,1,1,0,1,1,0,0,0,0,0.016143,0.485000
19,25087.253662,0.436190,1,1,0,1,1,0,2,2,0,0,0,0,0.048810,0.485000
20,20120.333735,0.410857,1,1,0,2,2,0,0,0,0,0,0,0,0.074143,0.485000
21,20899.288634,0.373524,1,1,0,2,2,0,1,1,0,0,0,0,0.111476,0.485000
22,21404.592798,0.427619,1,1,0,2,2,0,2,2,0,0,0,0,0.057381,0.485000
23,17097.819018,0.415048,1,1,0,3,3,0,0,0,0,0,0,0,0.069952,0.485000
24,16849.717148,0.381643,1,1,0,3,3,0,1,1,0,0,0,0,0.103357,0.485000
25,16516.774260,0.363381,1,1,0,3,3,0,2,2,0,0,0,0,0.121619,0.485000
26,35721.388034,0.471238,0,0,0,0,0,0,0,0,0,0,0,0,0.013762,0.485000
