time_ms,accuracy,count_and_lower_words_decision_0,count_and_lower_words_decision_1,count_and_lower_words_threshold_0,lowering_corpus_decision_0,lowering_corpus_decision_1,lowering_corpus_threshold_0,score_term_over_docs_decision_0,score_term_over_docs_decision_1,score_term_over_docs_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,idx,qos_loss,exact_accuracy
32554.862232,0.466127,1,0,2,0,1,4,1,1,17,0,0,8,,0.018873,0.485000
31841.921588,0.451048,1,0,2,0,2,4,1,1,23,0,0,8,,0.033952,0.485000
14716.967527,0.090382,1,1,23,0,3,1,2,0,40,1,1,9,,0.394618,0.485000
31515.942245,0.470413,1,0,2,0,2,4,1,1,12,0,0,8,,0.014587,0.485000
30719.447093,0.424905,1,0,3,0,2,4,1,2,14,0,0,7,,0.060095,0.485000
23652.202911,0.135849,0,1,32,0,2,4,0,0,40,1,1,4,,0.349151,0.485000
27084.026477,0.360810,1,0,3,1,2,3,1,2,14,0,0,9,,0.124190,0.485000
33590.913123,0.466794,1,0,3,0,0,3,2,0,8,1,0,4,,0.018206,0.485000
33622.117723,0.470127,1,0,3,0,0,3,2,0,5,1,0,4,,0.014873,0.485000
24028.799831,0.385405,1,0,3,1,3,3,2,0,8,1,0,4,,0.099595,0.485000
27754.881078,0.372032,1,0,3,0,2,2,0,0,7,0,1,8,,0.112968,0.485000
24289.830188,0.416841,1,1,2,0,2,3,0,2,17,0,1,9,,0.068159,0.485000
22400.301267,0.388714,1,0,264,1,3,3,2,0,8,1,0,6,,0.096286,0.485000
20982.963838,0.111874,1,0,264,1,3,3,2,0,8,1,1,6,,0.373126,0.485000
17624.833918,0.330571,1,0,264,3,3,3,2,0,8,1,0,6,,0.154429,0.485000
23915.267836,0.141708,1,1,7,1,0,3,1,2,10,0,1,0,,0.343292,0.485000
31610.542204,0.256794,0,0,115,2,0,1,1,0,25,0,1,7,,0.228206,0.485000
25526.821854,0.263913,0,1,115,2,0,1,1,2,17,0,1,7,,0.221087,0.485000
25112.805355,0.177430,0,1,115,2,0,1,1,2,19,0,1,6,,0.307570,0.485000
15084.813968,0.365310,1,1,7,3,3,3,2,1,20,1,0,4,,0.119690,0.485000
23907.828777,0.421714,1,1,7,1,1,3,2,1,20,1,0,4,,0.063286,0.485000
20118.911906,0.398214,0,1,29,2,2,3,1,2,25,1,0,0,,0.086786,0.485000
23754.354186,0.172163,1,0,256,2,0,5,0,2,31,1,1,0,,0.312837,0.485000
18174.397150,0.108393,1,0,880,0,3,1,1,2,20,1,1,2,,0.376607,0.485000
24701.983196,0.450714,0,1,3,0,1,1,2,0,1,1,0,1,,0.034286,0.485000
23782.620076,0.188071,0,1,3,0,1,1,0,0,1,1,0,8,,0.296929,0.485000
25299.381202,0.449381,0,1,3,0,1,1,2,0,1,1,0,0,,0.035619,0.485000
26335.654258,0.126159,0,1,794,0,0,4,0,2,24,0,1,3,,0.358841,0.485000
24685.799172,0.179573,0,0,107,0,3,3,2,1,13,1,0,8,,0.305427,0.485000
29523.456024,0.116219,1,0,1,1,0,3,1,1,28,1,1,8,,0.368781,0.485000
29206.520936,0.150009,0,0,2,0,2,5,2,1,6,1,0,9,,0.334991,0.485000
26576.319359,0.448619,1,1,5,2,0,1,2,1,3,1,0,0,,0.036381,0.485000
27864.663950,0.423381,1,1,255,0,0,5,2,1,7,0,0,3,,0.061619,0.485000
27045.906858,0.444746,1,1,6,0,2,5,0,1,9,1,0,4,,0.040254,0.485000
23234.428742,0.424571,1,1,6,1,2,4,0,1,9,1,0,4,,0.060429,0.485000
28218.521389,0.186240,0,0,11,1,1,2,1,0,6,0,1,6,,0.298760,0.485000
24779.238362,0.428238,1,1,6,1,1,4,0,1,21,1,0,3,,0.056762,0.485000
26214.166690,0.448937,1,1,156,1,0,4,0,1,9,1,0,4,,0.036063,0.485000
19225.745969,0.171770,0,1,14,2,2,4,0,0,17,1,0,8,,0.313230,0.485000
20939.412277,0.397571,1,1,114,2,2,4,0,1,9,1,0,4,,0.087429,0.485000
26172.417364,0.126516,0,1,734,0,0,2,0,2,28,0,1,0,,0.358484,0.485000
22402.305169,0.195849,1,1,4,1,1,2,1,0,17,1,0,8,,0.289151,0.485000
22049.801591,0.146849,1,1,4,1,1,2,1,0,17,1,0,9,,0.338151,0.485000
24489.830401,0.421762,0,0,51,2,2,1,2,0,6,1,0,1,,0.063238,0.485000
28623.347523,0.421000,0,0,1,1,1,4,2,0,32,0,1,9,,0.064000,0.485000
24148.360638,0.421762,0,0,51,2,2,1,2,0,6,0,0,1,,0.063238,0.485000
19865.016495,0.402270,1,1,59,2,2,2,2,0,19,1,0,5,,0.082730,0.485000
28166.787449,0.429810,0,0,51,2,1,1,2,2,6,0,0,1,,0.055190,0.485000
20416.485679,0.138040,0,1,2,2,1,3,1,0,27,1,1,8,,0.346960,0.485000
19957.541956,0.128040,0,1,4,2,1,3,1,0,27,1,1,7,,0.356960,0.485000
22708.838283,0.456048,0,1,387,1,2,4,1,1,13,0,0,2,,0.028952,0.485000
30367.466151,0.394381,1,0,387,0,2,4,1,1,9,0,0,2,,0.090619,0.485000
12622.679943,0.091302,1,1,1,3,3,1,2,2,34,1,1,2,,0.393698,0.485000
23020.444650,0.118898,0,1,69,0,1,2,1,1,7,1,1,2,,0.366102,0.485000
23661.437872,0.350286,0,1,11,1,1,2,1,2,25,0,1,8,,0.134714,0.485000
22989.732112,0.394905,1,0,1,3,2,1,1,1,35,0,0,6,,0.090095,0.485000
18772.353596,0.371000,0,0,1,3,2,5,2,1,35,0,0,0,,0.114000,0.485000
15970.657061,0.144652,0,1,1,3,2,3,2,1,3,0,1,1,,0.340348,0.485000
18580.772619,0.383286,0,0,1,3,2,5,2,1,35,0,0,1,,0.101714,0.485000
18569.536189,0.366175,0,0,1,3,2,5,2,0,35,0,0,1,,0.118825,0.485000
