time_ms,accuracy,count_and_lower_words_decision_0,count_and_lower_words_decision_1,count_and_lower_words_threshold_0,lowering_corpus_decision_0,lowering_corpus_decision_1,lowering_corpus_threshold_0,score_term_over_docs_decision_0,score_term_over_docs_decision_1,score_term_over_docs_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,idx,qos_loss,exact_accuracy
24280.638181,0.059048,0,1,2,1,0,3,0,2,36,1,1,0,,0.425952,0.485000
24334.999399,0.347762,0,1,21,2,0,3,0,2,8,0,0,2,,0.137238,0.485000
30980.107365,0.319905,0,0,21,1,0,3,0,2,8,0,0,2,,0.165095,0.485000
23475.042293,0.374333,0,1,19,2,0,3,0,2,8,0,0,2,,0.110667,0.485000
20230.248141,0.355746,1,0,2,3,2,3,2,1,17,1,0,0,,0.129254,0.485000
28232.090043,0.319667,1,0,4,1,1,4,2,2,21,0,0,3,,0.165333,0.485000
20109.581614,0.359905,1,0,3,3,2,4,2,1,14,1,0,0,,0.125095,0.485000
18533.673185,0.396619,1,0,3,3,2,5,2,1,19,1,0,0,,0.088381,0.485000
27087.888263,0.376571,0,1,118,0,1,4,0,1,38,0,0,5,,0.108429,0.485000
18752.113192,0.371619,1,0,3,3,2,5,2,1,28,1,0,2,,0.113381,0.485000
19092.109498,0.392571,1,0,3,3,2,5,2,1,30,1,0,0,,0.092429,0.485000
24291.977052,0.074667,1,0,8,2,0,4,2,2,34,1,0,9,,0.410333,0.485000
22872.068512,0.130540,1,0,8,3,0,4,0,2,34,1,0,9,,0.354460,0.485000
17531.207217,0.343714,1,1,9,2,3,3,1,0,12,1,0,3,,0.141286,0.485000
18173.141251,0.337333,1,1,9,2,3,3,1,0,18,1,0,3,,0.147667,0.485000
32660.701550,0.332651,0,0,1,0,0,2,2,1,24,0,0,9,,0.152349,0.485000
25692.464344,0.365429,0,0,13,1,2,3,2,1,2,0,0,10,,0.119571,0.485000
18929.814049,0.344905,1,1,9,1,3,3,1,0,12,0,0,3,,0.140095,0.485000
26189.085732,0.196254,1,1,882,0,0,5,1,2,28,1,0,7,,0.288746,0.485000
22808.474886,0.033333,1,0,33,2,0,5,0,2,12,1,1,5,,0.451667,0.485000
15748.550279,0.104762,1,1,9,2,3,3,1,0,12,1,0,8,,0.380238,0.485000
19351.252346,0.350190,1,1,9,1,3,3,1,0,12,1,0,2,,0.134810,0.485000
21158.601980,0.118714,1,1,171,1,3,5,0,1,14,0,1,1,,0.366286,0.485000
33364.434083,0.362762,1,0,1,0,0,5,2,2,5,0,0,6,,0.122238,0.485000
22790.461447,0.293048,1,1,1,0,3,4,2,1,9,0,1,8,,0.191952,0.485000
33062.199548,0.362762,1,0,1,0,0,5,2,2,5,0,0,5,,0.122238,0.485000
33338.205817,0.362762,1,0,2,0,0,5,2,2,5,0,0,4,,0.122238,0.485000
20030.579075,0.096889,1,1,112,0,3,3,2,0,6,1,1,1,,0.388111,0.485000
31047.821174,0.108000,1,0,35,0,0,5,2,1,29,0,1,5,,0.377000,0.485000
32145.887929,0.347762,1,0,9,0,1,5,2,2,5,0,0,5,,0.137238,0.485000
31292.303807,0.372762,1,0,9,0,1,3,2,2,5,0,0,5,,0.112238,0.485000
31059.623836,0.338714,0,0,9,0,1,3,2,2,5,0,0,5,,0.146286,0.485000
20744.992879,0.063873,0,1,679,3,1,1,1,1,35,0,1,2,,0.421127,0.485000
20671.846956,0.083159,0,1,382,3,1,1,1,1,35,0,1,2,,0.401841,0.485000
20694.050276,0.076825,1,0,26,1,3,3,1,2,30,1,0,9,,0.408175,0.485000
27998.353297,0.384905,1,1,1,0,0,3,1,0,8,0,0,2,,0.100095,0.485000
28177.225275,0.373476,1,1,1,0,0,3,1,0,2,0,0,2,,0.111524,0.485000
24722.864768,0.363619,0,0,52,2,2,3,0,2,38,1,0,1,,0.121381,0.485000
24624.693579,0.319714,0,0,52,2,2,3,0,2,23,1,0,1,,0.165286,0.485000
26418.561947,0.078159,1,0,16,2,1,1,0,1,14,1,1,5,,0.406841,0.485000
27647.219995,0.098159,0,0,52,0,2,3,0,2,23,1,1,7,,0.386841,0.485000
24638.210552,0.098159,1,0,339,1,2,3,1,0,21,0,1,2,,0.386841,0.485000
24735.537241,0.314190,0,0,52,2,2,3,0,1,13,1,0,1,,0.170810,0.485000
31099.699599,0.153778,1,0,114,0,2,5,0,1,1,1,0,9,,0.331222,0.485000
29911.073629,0.155778,1,0,241,0,2,5,0,1,5,1,0,9,,0.329222,0.485000
27163.375175,0.373635,0,1,15,0,2,5,0,2,23,0,0,1,,0.111365,0.485000
27649.030569,0.404190,0,1,15,0,2,5,0,2,25,0,0,1,,0.080810,0.485000
25216.197541,0.342476,1,1,6,1,0,5,0,0,11,0,0,3,,0.142524,0.485000
24497.452580,0.342476,1,1,6,1,1,5,0,0,11,0,0,4,,0.142524,0.485000
18812.242483,0.342286,1,0,2,3,2,5,1,1,20,0,1,10,,0.142714,0.485000
27995.751150,0.361333,1,1,525,0,0,3,0,1,10,0,1,9,,0.123667,0.485000
20412.144332,0.312333,0,1,2,2,2,2,0,2,17,0,0,6,,0.172667,0.485000
15821.244176,0.374190,1,1,2,3,2,5,1,1,20,0,1,10,,0.110810,0.485000
20230.439914,0.091810,0,0,33,3,0,5,0,2,9,1,0,9,,0.393190,0.485000
22027.497413,0.340857,1,1,2,0,2,2,2,1,32,0,1,9,,0.144143,0.485000
18251.181626,0.081333,1,1,75,2,2,3,0,0,31,1,0,10,,0.403667,0.485000
23950.123819,0.328476,1,1,2,0,2,3,2,1,28,0,1,9,,0.156524,0.485000
19326.016013,0.065714,1,0,68,2,3,3,1,1,27,1,1,8,,0.419286,0.485000
22496.188697,0.311333,1,1,2,0,2,2,2,1,32,0,1,8,,0.173667,0.485000
21445.163665,0.360476,0,0,1,3,2,3,2,0,10,0,0,5,,0.124524,0.485000
27178.029009,0.317095,1,0,212,2,1,2,2,2,34,0,1,9,,0.167905,0.485000
21904.877831,0.302905,1,1,25,0,2,1,2,0,14,0,1,9,,0.182095,0.485000
28827.023523,0.373762,0,0,21,1,1,3,2,1,2,0,0,7,,0.111238,0.485000
19478.795521,0.114603,0,1,48,3,1,2,2,0,8,1,1,3,,0.370397,0.485000
23905.889636,0.096889,1,0,251,0,2,1,1,0,3,1,1,2,,0.388111,0.485000
31467.642638,0.397619,0,0,3,0,1,3,0,1,24,0,0,7,,0.087381,0.485000
28719.013753,0.353048,0,0,3,0,2,3,0,1,25,0,0,7,,0.131952,0.485000
17414.105659,0.055873,0,0,1,2,3,2,2,1,23,0,1,4,,0.429127,0.485000
20502.563102,0.340619,1,0,2,3,2,4,1,0,25,1,0,4,,0.144381,0.485000
19743.294162,0.444190,1,0,5,3,2,4,1,0,25,1,0,4,,0.040810,0.485000
20560.291919,0.340190,1,1,5,2,2,4,0,0,25,1,0,4,,0.144810,0.485000
25539.179141,0.358762,0,1,10,1,0,3,2,1,9,1,0,5,,0.126238,0.485000
18991.756132,0.337048,1,0,5,3,2,5,1,0,25,1,0,3,,0.147952,0.485000
26649.080979,0.115873,1,0,29,0,3,4,1,2,9,1,1,2,,0.369127,0.485000
18840.091754,0.275302,1,0,2,3,2,4,1,0,25,1,0,6,,0.209698,0.485000
26848.565953,0.389905,1,0,2,0,2,1,1,0,4,0,1,9,,0.095095,0.485000
16054.385950,0.055556,0,1,9,2,3,4,1,0,27,1,1,9,,0.429444,0.485000
25010.721945,0.369905,1,0,2,1,2,1,1,0,6,0,1,9,,0.115095,0.485000
23055.936533,0.365762,1,0,2,1,3,2,1,0,6,0,1,9,,0.119238,0.485000
20502.327535,0.392762,1,0,2,1,3,2,2,0,6,0,1,9,,0.092238,0.485000
25604.179167,0.360190,0,1,1,1,0,4,0,0,12,0,1,8,,0.124810,0.485000
23030.744475,0.328476,1,0,2,1,3,3,2,0,4,0,1,10,,0.156524,0.485000
18296.920294,0.336095,1,1,2,1,3,2,2,0,6,0,1,9,,0.148905,0.485000
26530.940436,0.118159,1,0,2,1,1,2,2,0,6,1,1,9,,0.366841,0.485000
21838.869508,0.370762,1,0,9,1,3,2,2,0,6,0,1,9,,0.114238,0.485000
22431.679863,0.116889,0,1,78,0,2,3,1,0,24,1,0,9,,0.368111,0.485000
18176.124542,0.315857,0,0,45,3,3,4,1,2,33,0,0,6,,0.169143,0.485000
19693.297962,0.065778,1,1,69,0,3,3,2,1,17,1,1,8,,0.419222,0.485000
15937.824739,0.374429,1,1,55,3,2,5,2,0,14,0,0,7,,0.110571,0.485000
15465.748284,0.394429,1,1,33,3,2,5,2,0,14,0,0,7,,0.090571,0.485000
24641.870104,0.182921,1,1,332,0,2,5,2,0,18,1,0,7,,0.302079,0.485000
27577.325924,0.104444,0,0,20,3,0,1,2,0,31,1,1,7,,0.380556,0.485000
15654.663563,0.337286,1,1,33,3,2,5,2,0,15,0,0,7,,0.147714,0.485000
16187.566897,0.391762,0,1,33,3,2,5,2,0,14,0,0,7,,0.093238,0.485000
21018.176667,0.343905,1,1,14,2,1,5,2,0,14,0,0,7,,0.141095,0.485000
29079.139364,0.335302,0,0,6,1,1,4,0,2,32,1,0,6,,0.149698,0.485000
24863.694150,0.209651,1,1,33,0,2,5,2,0,14,1,0,7,,0.275349,0.485000
28950.934795,0.334714,1,0,3,1,1,4,0,0,23,0,0,9,,0.150286,0.485000
26317.730829,0.288762,0,1,167,0,1,4,2,2,33,0,0,8,,0.196238,0.485000
20948.644073,0.305762,1,1,159,1,2,1,0,2,12,1,0,5,,0.179238,0.485000
20783.473185,0.286762,1,1,159,1,2,1,0,2,14,1,0,5,,0.198238,0.485000
24207.270018,0.307476,1,1,27,1,1,1,0,2,12,1,0,5,,0.177524,0.485000
28687.440466,0.348048,1,0,27,1,1,1,0,2,12,1,0,5,,0.136952,0.485000
25718.356281,0.334429,1,0,1,0,2,1,1,1,10,0,0,10,,0.150571,0.485000
24230.785706,0.315905,1,1,13,1,1,4,1,0,13,1,0,3,,0.169095,0.485000
24858.748892,0.342952,1,0,27,1,2,1,1,2,12,1,0,3,,0.142048,0.485000
28193.163239,0.364000,1,0,5,1,1,1,1,2,37,1,0,5,,0.121000,0.485000
28447.121651,0.379000,0,0,5,1,1,1,1,2,27,1,0,5,,0.106000,0.485000
36707.450654,0.382762,0,0,0,0,0,0,0,0,0,0,0,0,1,0.102238,0.485000
29836.062347,0.383476,1,1,0,0,0,0,0,0,0,0,0,0,2,0.101524,0.485000
29455.243410,0.399476,1,1,0,0,0,0,1,1,0,0,0,0,3,0.085524,0.485000
28904.476654,0.328762,1,1,0,0,0,0,2,2,0,0,0,0,4,0.156238,0.485000
26096.485386,0.342476,1,1,0,1,1,0,0,0,0,0,0,0,5,0.142524,0.485000
25701.115119,0.352095,1,1,0,1,1,0,1,1,0,0,0,0,6,0.132905,0.485000
25041.902336,0.324000,1,1,0,1,1,0,2,2,0,0,0,0,7,0.161000,0.485000
22199.039510,0.340190,1,1,0,2,2,0,0,0,0,0,0,0,8,0.144810,0.485000
21837.389282,0.353286,1,1,0,2,2,0,1,1,0,0,0,0,9,0.131714,0.485000
21384.863043,0.379476,1,1,0,2,2,0,2,2,0,0,0,0,10,0.105524,0.485000
17177.903088,0.397190,1,1,0,3,3,0,0,0,0,0,0,0,11,0.087810,0.485000
16943.853363,0.361619,1,1,0,3,3,0,1,1,0,0,0,0,12,0.123381,0.485000
16587.277606,0.289667,1,1,0,3,3,0,2,2,0,0,0,0,13,0.195333,0.485000
36220.083637,0.382762,0,0,0,0,0,0,0,0,0,0,0,0,14,0.102238,0.485000
