time_ms,accuracy,count_and_lower_words_decision_0,count_and_lower_words_decision_1,count_and_lower_words_threshold_0,lowering_corpus_decision_0,lowering_corpus_decision_1,lowering_corpus_threshold_0,score_term_over_docs_decision_0,score_term_over_docs_decision_1,score_term_over_docs_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,qos_loss,exact_accuracy
14033.166236,0.005556,1,1,0,3,3,0,0,0,0,1,1,0,0.374444,0.380000
22321.957354,0.031448,0,0,0,2,2,0,0,0,0,1,1,0,0.348552,0.380000
25949.748066,0.031250,1,1,0,0,0,0,0,0,0,1,1,0,0.348750,0.380000
22423.497513,0.031448,0,0,0,2,2,0,0,0,0,1,1,0,0.348552,0.380000
22356.975445,0.031448,0,0,0,2,2,0,0,0,0,1,1,0,0.348552,0.380000
24737.073931,0.285694,0,0,0,2,2,0,2,2,0,0,0,0,0.094306,0.380000
22093.744600,0.005000,0,0,0,2,2,0,1,1,0,1,1,0,0.375000,0.380000
30757.280257,0.025000,0,0,0,0,0,0,2,2,0,1,1,0,0.355000,0.380000
24181.771947,0.352282,0,0,0,2,2,0,1,1,0,0,0,0,0.027718,0.380000
28950.398898,0.334425,0,0,0,1,1,0,1,1,0,0,0,0,0.045575,0.380000
24179.441849,0.352282,0,0,0,2,2,0,1,1,0,0,0,0,0.027718,0.380000
24314.282018,0.352282,0,0,0,2,2,0,1,1,0,0,0,0,0.027718,0.380000
24289.936355,0.352282,0,0,0,2,2,0,1,1,0,0,0,0,0.027718,0.380000
24205.521977,0.352282,0,0,0,2,2,0,1,1,0,0,0,0,0.027718,0.380000
19670.069866,0.284425,1,1,0,2,2,0,2,2,0,0,0,0,0.095575,0.380000
17846.346093,0.302282,0,0,0,3,3,0,1,1,0,0,0,0,0.077718,0.380000
33900.035988,0.412778,0,0,0,0,0,0,2,2,0,0,0,0,0.000000,0.380000
27754.020809,0.017143,0,0,0,1,1,0,0,0,0,1,1,0,0.362857,0.380000
32765.255767,0.412778,0,0,0,0,0,0,2,2,0,0,0,0,0.000000,0.380000
32963.420081,0.412778,0,0,0,0,0,0,2,2,0,0,0,0,0.000000,0.380000
32802.472933,0.412778,0,0,0,0,0,0,2,2,0,0,0,0,0.000000,0.380000
17610.290537,0.005556,1,1,0,2,2,0,2,2,0,1,1,0,0.374444,0.380000
32858.331965,0.412778,0,0,0,0,0,0,2,2,0,0,0,0,0.000000,0.380000
17731.855211,0.005556,1,1,0,2,2,0,2,2,0,1,1,0,0.374444,0.380000
33435.450072,0.425397,0,0,0,0,0,0,1,1,0,0,0,0,0.000000,0.380000
