time_ms,accuracy,compute_similarities_with_state_decision_0,compute_similarities_with_state_decision_1,compute_similarities_with_state_threshold_0,parse_embedding_decision_0,parse_embedding_decision_1,parse_embedding_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,qos_loss,exact_accuracy
7705.395981,0.481389,2,2,0,2,2,0,0,0,0,0.000000,0.460000
6581.006889,0.481389,2,2,0,2,2,0,0,0,0,0.000000,0.460000
6688.289749,0.031250,0,0,0,1,1,0,1,1,0,0.428750,0.460000
5039.404787,0.005556,2,2,0,1,1,0,1,1,0,0.454444,0.460000
6433.522543,0.481389,2,2,0,2,2,0,0,0,0,0.000000,0.460000
6576.577369,0.481389,2,2,0,2,2,0,0,0,0,0.000000,0.460000
6466.290490,0.481389,2,2,0,2,2,0,0,0,0,0.000000,0.460000
7011.377616,0.480000,0,0,0,2,2,0,0,0,0,0.000000,0.460000
6158.812305,0.481389,2,2,0,2,2,0,0,0,0,0.000000,0.460000
6419.248450,0.481389,2,2,0,2,2,0,0,0,0,0.000000,0.460000
7343.715824,0.481389,2,2,0,2,2,0,0,0,0,0.000000,0.460000
8021.219683,0.485480,2,2,0,0,0,0,0,0,0,0.000000,0.460000
7992.712915,0.481389,2,2,0,2,2,0,0,0,0,0.000000,0.460000
8094.950742,0.481389,2,2,0,2,2,0,0,0,0,0.000000,0.460000
7534.431520,0.481389,2,2,0,2,2,0,0,0,0,0.000000,0.460000
7492.099437,0.481389,2,2,0,2,2,0,0,0,0,0.000000,0.460000
7342.606721,0.481389,2,2,0,2,2,0,0,0,0,0.000000,0.460000
6348.032419,0.481389,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5201.668882,0.005556,2,2,0,1,1,0,1,1,0,0.454444,0.460000
8239.280221,0.485480,2,2,0,0,0,0,0,0,0,0.000000,0.460000
7413.128817,0.481389,2,2,0,2,2,0,0,0,0,0.000000,0.460000
7887.071508,0.480000,0,0,0,2,2,0,0,0,0,0.000000,0.460000
8013.748707,0.481389,2,2,0,2,2,0,0,0,0,0.000000,0.460000
8616.182226,0.444091,1,1,0,0,0,0,0,0,0,0.015909,0.460000
4784.680012,0.031250,1,1,0,2,2,0,1,1,0,0.428750,0.460000
6463.132316,0.481389,2,2,0,2,2,0,0,0,0,0.000000,0.460000
7418.006302,0.481389,2,2,0,2,2,0,0,0,0,0.000000,0.460000
7736.804809,0.481389,2,2,0,2,2,0,0,0,0,0.000000,0.460000
7632.122306,0.481389,2,2,0,2,2,0,0,0,0,0.000000,0.460000
6968.154119,0.481389,2,2,0,2,2,0,0,0,0,0.000000,0.460000
7218.314095,0.485480,2,2,0,1,1,0,0,0,0,0.000000,0.460000
7286.448963,0.481389,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5044.725677,0.031250,1,1,0,2,2,0,1,1,0,0.428750,0.460000
6554.432945,0.031250,1,1,0,1,1,0,1,1,0,0.428750,0.460000
7929.243382,0.481389,2,2,0,2,2,0,0,0,0,0.000000,0.460000
7519.048775,0.469091,0,0,0,1,1,0,0,0,0,0.000000,0.460000
6978.300481,0.005556,2,2,0,0,0,0,1,1,0,0.454444,0.460000
8210.296645,0.481389,2,2,0,2,2,0,0,0,0,0.000000,0.460000
7067.625284,0.480000,0,0,0,2,2,0,0,0,0,0.000000,0.460000
5537.776338,0.031250,1,1,0,1,1,0,1,1,0,0.428750,0.460000
8262.080508,0.485480,2,2,0,0,0,0,0,0,0,0.000000,0.460000
7130.234186,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
6041.754684,0.481389,2,2,0,2,2,0,0,0,0,0.000000,0.460000
4531.336820,0.055556,2,2,0,2,2,0,1,1,0,0.404444,0.460000
9557.825748,0.484289,2,2,0,0,0,0,0,0,0,0.000000,0.460000
8386.178128,0.484289,2,2,0,0,0,0,0,0,0,0.000000,0.460000
8274.586158,0.031250,0,0,0,0,0,0,1,1,0,0.428750,0.460000
8218.392218,0.484289,2,2,0,0,0,0,0,0,0,0.000000,0.460000
8459.813240,0.484289,2,2,0,0,0,0,0,0,0,0.000000,0.460000
5992.970474,0.031250,1,1,0,1,1,0,1,1,0,0.428750,0.460000
7219.662528,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
7282.909126,0.031250,0,0,0,0,0,0,1,1,0,0.428750,0.460000
6144.862509,0.031250,1,1,0,1,1,0,1,1,0,0.428750,0.460000
6997.454564,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
6932.411133,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
7499.065322,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
7874.857010,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
8152.902067,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
6999.755722,0.005556,2,2,0,0,0,0,1,1,0,0.454444,0.460000
8076.841747,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
5005.051713,0.031250,1,1,0,2,2,0,1,1,0,0.428750,0.460000
6712.717712,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
6469.601658,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
6959.513519,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
7117.241151,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
8209.068719,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
7161.079454,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
6620.344848,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
4987.931268,0.056250,0,0,0,2,2,0,1,1,0,0.403750,0.460000
8164.127916,0.484289,2,2,0,0,0,0,0,0,0,0.000000,0.460000
7501.147840,0.484289,2,2,0,1,1,0,0,0,0,0.000000,0.460000
8225.827158,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
7585.002346,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
8708.414119,0.444091,1,1,0,0,0,0,0,0,0,0.015909,0.460000
7321.001715,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
4841.056923,0.031250,1,1,0,2,2,0,1,1,0,0.428750,0.460000
6422.135729,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
7353.751783,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
7470.840671,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
6692.917127,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
7403.373317,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
8091.853370,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
6548.166203,0.484289,2,2,0,1,1,0,0,0,0,0.000000,0.460000
4801.557465,0.005556,2,2,0,1,1,0,1,1,0,0.454444,0.460000
7005.630999,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
6730.112179,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
6124.781833,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
5313.286414,0.056250,0,0,0,2,2,0,1,1,0,0.403750,0.460000
7052.657001,0.031250,0,0,0,0,0,0,1,1,0,0.428750,0.460000
4786.947923,0.056250,0,0,0,2,2,0,1,1,0,0.403750,0.460000
4730.584232,0.056250,0,0,0,2,2,0,1,1,0,0.403750,0.460000
5890.553931,0.031250,0,0,0,1,1,0,1,1,0,0.428750,0.460000
8045.524928,0.484289,2,2,0,1,1,0,0,0,0,0.000000,0.460000
7388.044135,0.484289,2,2,0,1,1,0,0,0,0,0.000000,0.460000
6044.056432,0.031250,0,0,0,1,1,0,1,1,0,0.428750,0.460000
8703.831231,0.484289,2,2,0,1,1,0,0,0,0,0.000000,0.460000
7700.686379,0.484289,2,2,0,1,1,0,0,0,0,0.000000,0.460000
7496.867589,0.469091,0,0,0,1,1,0,0,0,0,0.000000,0.460000
6339.413257,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
6616.947874,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
6569.264445,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
8584.370625,0.469091,0,0,0,0,0,0,0,0,0,0.000000,0.460000
6864.843440,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
7224.086768,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
7205.836521,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
7258.203521,0.031250,0,0,0,0,0,0,1,1,0,0.428750,0.460000
6259.778777,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
6355.706930,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
6861.964103,0.480000,0,0,0,2,2,0,0,0,0,0.000000,0.460000
6731.323827,0.484289,2,2,0,1,1,0,0,0,0,0.000000,0.460000
7383.643043,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
8042.365089,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
7864.742405,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
7268.919797,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
6369.890988,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
7380.259640,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
6782.469560,0.005556,2,2,0,0,0,0,1,1,0,0.454444,0.460000
8203.201729,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
7315.281783,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5952.736810,0.031250,1,1,0,1,1,0,1,1,0,0.428750,0.460000
7095.919814,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
8196.919793,0.484289,2,2,0,1,1,0,0,0,0,0.000000,0.460000
7997.258943,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
6103.523259,0.031250,1,1,0,1,1,0,1,1,0,0.428750,0.460000
4450.749026,0.055556,2,2,0,2,2,0,1,1,0,0.404444,0.460000
8343.286880,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
8964.684084,0.469091,0,0,0,0,0,0,0,0,0,0.000000,0.460000
6077.252880,0.031250,0,0,0,1,1,0,1,1,0,0.428750,0.460000
8713.958957,0.469091,0,0,0,0,0,0,0,0,0,0.000000,0.460000
6785.165622,0.031250,0,0,0,1,1,0,1,1,0,0.428750,0.460000
5353.611244,0.005556,2,2,0,1,1,0,1,1,0,0.454444,0.460000
6228.208886,0.031250,0,0,0,1,1,0,1,1,0,0.428750,0.460000
6324.256828,0.031250,0,0,0,1,1,0,1,1,0,0.428750,0.460000
7139.473917,0.031250,1,1,0,0,0,0,1,1,0,0.428750,0.460000
6616.225215,0.031250,0,0,0,1,1,0,1,1,0,0.428750,0.460000
9084.216651,0.469091,0,0,0,1,1,0,0,0,0,0.000000,0.460000
7418.062667,0.485480,2,2,0,1,1,0,0,0,0,0.000000,0.460000
8667.913116,0.485480,2,2,0,1,1,0,0,0,0,0.000000,0.460000
8360.777118,0.485480,2,2,0,0,0,0,0,0,0,0.000000,0.460000
8151.733984,0.485480,2,2,0,0,0,0,0,0,0,0.000000,0.460000
6576.265462,0.031250,1,1,0,1,1,0,1,1,0,0.428750,0.460000
8289.100150,0.485480,2,2,0,0,0,0,0,0,0,0.000000,0.460000
5313.636671,0.005556,2,2,0,1,1,0,1,1,0,0.454444,0.460000
7313.339072,0.485480,2,2,0,1,1,0,0,0,0,0.000000,0.460000
7227.846271,0.481389,2,2,0,2,2,0,0,0,0,0.000000,0.460000
6913.051469,0.005556,2,2,0,0,0,0,1,1,0,0.454444,0.460000
6926.205217,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
7501.181523,0.031250,1,1,0,0,0,0,1,1,0,0.428750,0.460000
5911.365165,0.031250,1,1,0,1,1,0,1,1,0,0.428750,0.460000
8410.199377,0.485480,2,2,0,0,0,0,0,0,0,0.000000,0.460000
5143.677183,0.056250,0,0,0,2,2,0,1,1,0,0.403750,0.460000
4833.273754,0.031250,1,1,0,2,2,0,1,1,0,0.428750,0.460000
8284.761477,0.481389,2,2,0,2,2,0,0,0,0,0.000000,0.460000
7613.802736,0.481389,2,2,0,2,2,0,0,0,0,0.000000,0.460000
7079.600575,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
7307.854839,0.485480,2,2,0,1,1,0,0,0,0,0.000000,0.460000
4987.491742,0.031250,1,1,0,2,2,0,1,1,0,0.428750,0.460000
7185.839270,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
7539.801545,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
7601.175698,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
9031.142505,0.444091,1,1,0,0,0,0,0,0,0,0.015909,0.460000
6786.897845,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
7799.912672,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
8397.191408,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
7026.312690,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
7056.744743,0.480000,0,0,0,2,2,0,0,0,0,0.000000,0.460000
7920.280218,0.481389,2,2,0,2,2,0,0,0,0,0.000000,0.460000
6809.146848,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
6875.570486,0.480000,0,0,0,2,2,0,0,0,0,0.000000,0.460000
7213.234382,0.444091,1,1,0,1,1,0,0,0,0,0.015909,0.460000
9777.644562,0.444091,1,1,0,0,0,0,0,0,0,0.015909,0.460000
6171.797166,0.005556,2,2,0,1,1,0,1,1,0,0.454444,0.460000
5639.718906,0.031250,1,1,0,1,1,0,1,1,0,0.428750,0.460000
5860.840266,0.031250,1,1,0,1,1,0,1,1,0,0.428750,0.460000
8110.815459,0.480198,2,2,0,2,2,0,0,0,0,0.000000,0.460000
4373.335363,0.055556,2,2,0,2,2,0,1,1,0,0.404444,0.460000
6855.666681,0.444091,1,1,0,1,1,0,0,0,0,0.015909,0.460000
9166.706150,0.444091,1,1,0,0,0,0,0,0,0,0.015909,0.460000
6593.156339,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
7164.543289,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
4738.056592,0.031250,1,1,0,2,2,0,1,1,0,0.428750,0.460000
7362.011373,0.444091,1,1,0,1,1,0,0,0,0,0.015909,0.460000
6241.059324,0.005556,2,2,0,0,0,0,1,1,0,0.454444,0.460000
6599.817331,0.031250,0,0,0,1,1,0,1,1,0,0.428750,0.460000
8075.063680,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
7001.822290,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
5830.377904,0.031250,0,0,0,1,1,0,1,1,0,0.428750,0.460000
4687.341700,0.031250,1,1,0,2,2,0,1,1,0,0.428750,0.460000
8111.582511,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
7695.922626,0.444091,1,1,0,1,1,0,0,0,0,0.015909,0.460000
8021.960951,0.469091,0,0,0,1,1,0,0,0,0,0.000000,0.460000
7100.462304,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
6754.911019,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
7182.531983,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
7731.182251,0.484289,2,2,0,1,1,0,0,0,0,0.000000,0.460000
7868.384955,0.444091,1,1,0,1,1,0,0,0,0,0.015909,0.460000
7611.190395,0.455000,1,1,0,2,2,0,0,0,0,0.005000,0.460000
6852.637762,0.005556,2,2,0,0,0,0,1,1,0,0.454444,0.460000
7363.559199,0.444091,1,1,0,1,1,0,0,0,0,0.015909,0.460000
