time_ms,accuracy,compute_similarities_with_state_decision_0,compute_similarities_with_state_decision_1,compute_similarities_with_state_threshold_0,parse_embedding_decision_0,parse_embedding_decision_1,parse_embedding_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,idx,qos_loss,exact_accuracy
3900.320808,0.315214,0,5,5,1,0,8,0,0,2,,0.086786,0.402000
3680.507120,0.319817,1,5,5,2,1,2,0,0,2,,0.082183,0.402000
4818.087395,0.400095,4,0,3,2,2,8,0,0,0,,0.001905,0.402000
4074.715166,0.398976,5,3,5,2,2,10,0,0,1,,0.003024,0.402000
3645.683693,0.319817,1,5,5,2,1,2,0,0,4,,0.082183,0.402000
3649.098005,0.319817,1,5,5,2,1,2,0,0,3,,0.082183,0.402000
3481.259971,0.326960,1,5,5,2,1,9,0,0,4,,0.075040,0.402000
3474.778967,0.326960,2,5,5,2,1,9,0,0,10,,0.075040,0.402000
3611.176959,0.319817,2,5,5,2,1,4,0,1,10,,0.082183,0.402000
3646.247531,0.319817,2,5,5,2,1,2,0,0,10,,0.082183,0.402000
3453.855044,0.326960,2,5,3,2,1,9,0,0,10,,0.075040,0.402000
4279.173842,0.391143,2,2,3,2,1,9,0,0,10,,0.010857,0.402000
3444.093252,0.326960,4,5,3,2,1,9,0,0,10,,0.075040,0.402000
4787.905300,0.400095,4,0,3,2,1,9,0,1,10,,0.001905,0.402000
3456.430820,0.316960,4,5,3,2,2,9,0,0,10,,0.085040,0.402000
3446.308453,0.326960,4,5,2,2,1,9,0,0,8,,0.075040,0.402000
3767.046784,0.366357,4,4,3,2,1,9,0,0,10,,0.035643,0.402000
3439.350587,0.326960,4,5,3,2,1,9,0,1,10,,0.075040,0.402000
1885.791717,0.118413,4,5,3,2,1,10,1,1,10,,0.283587,0.402000
3718.366544,0.366357,4,4,3,2,1,9,0,1,10,,0.035643,0.402000
3443.040647,0.326960,3,5,3,2,1,9,0,1,10,,0.075040,0.402000
3421.621955,0.316960,4,5,2,2,2,1,0,1,10,,0.085040,0.402000
4373.897706,0.328389,4,5,2,2,0,1,0,0,10,,0.073611,0.402000
3945.056040,0.398976,4,3,2,2,2,1,0,0,10,,0.003024,0.402000
2752.590073,0.236413,4,5,2,2,2,1,0,1,5,,0.165587,0.402000
3446.904937,0.317437,4,5,2,1,2,1,0,1,10,,0.084563,0.402000
3410.491797,0.316960,4,5,3,2,2,10,0,1,10,,0.085040,0.402000
3826.704463,0.329817,4,5,3,2,0,6,0,1,10,,0.072183,0.402000
3905.031581,0.315214,0,5,5,1,0,8,0,0,2,,0.086786,0.402000
3657.394112,0.319817,1,5,5,2,1,2,0,0,2,,0.082183,0.402000
4715.849081,0.400095,4,0,3,2,2,8,0,0,0,,0.001905,0.402000
3996.188733,0.398976,5,3,5,2,2,10,0,0,1,,0.003024,0.402000
3944.193607,0.398976,5,3,5,2,2,10,0,0,4,,0.003024,0.402000
4055.523362,0.168389,1,1,2,0,1,5,1,1,5,,0.233611,0.402000
3264.461757,0.144859,4,4,2,0,0,4,0,1,1,,0.257141,0.402000
3945.287222,0.398976,4,3,5,2,2,10,0,0,4,,0.003024,0.402000
5426.346208,0.377452,5,3,5,0,2,10,0,0,4,,0.024548,0.402000
2762.916772,0.216135,5,3,1,2,2,5,0,1,4,,0.185865,0.402000
3722.889029,0.366357,5,4,5,2,2,10,0,0,4,,0.035643,0.402000
3670.352900,0.366357,5,4,5,2,2,9,0,0,4,,0.035643,0.402000
3675.246733,0.366357,5,4,5,2,2,7,0,0,4,,0.035643,0.402000
