time_ms,accuracy,compute_similarities_with_state_decision_0,compute_similarities_with_state_decision_1,compute_similarities_with_state_threshold_0,parse_embedding_decision_0,parse_embedding_decision_1,parse_embedding_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,qos_loss,exact_accuracy
5572.406260,0.076806,2,0,4,2,0,6,0,1,1,0.383194,0.460000
3378.465125,0.076806,2,0,4,2,0,8,0,1,0,0.383194,0.460000
3382.529663,0.076806,2,0,2,2,0,8,0,1,0,0.383194,0.460000
3069.952703,0.074583,1,1,2,1,2,8,1,1,0,0.385417,0.460000
5748.244798,0.401429,1,1,1,2,1,4,0,0,9,0.058571,0.460000
5732.531868,0.401429,1,1,1,2,1,4,0,0,10,0.058571,0.460000
5679.619659,0.409762,1,1,1,2,1,5,0,0,10,0.050238,0.460000
4031.935345,0.118333,0,1,1,1,0,7,0,1,3,0.341667,0.460000
6197.661770,0.469091,1,0,1,2,1,5,0,0,10,0.000000,0.460000
6323.767988,0.409762,1,1,1,2,0,5,0,0,10,0.050238,0.460000
6276.750301,0.469091,0,0,2,2,1,3,0,0,1,0.000000,0.460000
3680.330287,0.080139,2,2,4,0,0,6,1,1,7,0.379861,0.460000
5694.390485,0.409762,1,1,1,2,1,5,0,0,7,0.050238,0.460000
5697.138764,0.409762,1,1,1,2,1,5,0,0,9,0.050238,0.460000
5615.680477,0.409762,1,1,1,2,1,7,0,0,10,0.050238,0.460000
5629.442403,0.409762,1,1,1,2,1,6,0,0,10,0.050238,0.460000
5571.924003,0.409762,1,1,1,2,1,7,0,0,9,0.050238,0.460000
6009.576855,0.484091,1,0,1,2,1,7,0,0,9,0.000000,0.460000
5179.372049,0.508992,1,2,1,2,1,6,0,0,9,0.000000,0.460000
5158.567757,0.508992,1,2,1,2,1,6,0,0,7,0.000000,0.460000
5126.295821,0.508992,1,2,1,2,1,7,0,0,7,0.000000,0.460000
5121.410625,0.508992,1,2,2,2,1,7,0,1,8,0.000000,0.460000
4891.037518,0.464547,1,2,3,2,1,7,0,1,7,0.000000,0.460000
4634.801071,0.395797,1,2,3,2,1,5,0,1,6,0.064203,0.460000
4672.924938,0.395797,1,2,3,2,1,4,0,1,6,0.064203,0.460000
3878.827335,0.272266,1,2,3,2,1,6,0,1,5,0.187734,0.460000
4410.928976,0.361706,1,2,3,2,2,3,0,1,6,0.098294,0.460000
4756.471438,0.430456,1,2,3,2,2,3,0,1,7,0.029544,0.460000
4546.205668,0.350675,1,2,3,1,2,3,0,1,6,0.109325,0.460000
3109.974560,0.154841,1,2,3,2,2,3,0,1,4,0.305159,0.460000
3734.392855,0.238175,1,2,3,2,2,3,0,1,5,0.221825,0.460000
4406.718426,0.361706,1,2,4,2,2,3,0,1,6,0.098294,0.460000
3713.194079,0.238175,1,2,4,2,2,3,0,1,5,0.221825,0.460000
5001.930043,0.474901,1,2,4,2,2,3,0,1,8,0.000000,0.460000
4397.884785,0.361706,1,2,4,2,2,2,0,1,6,0.098294,0.460000
4402.165462,0.361706,1,2,4,2,2,1,0,1,6,0.098294,0.460000
4408.955579,0.361706,1,2,3,2,2,2,0,1,6,0.098294,0.460000
4399.922379,0.361706,2,2,4,2,2,3,0,1,6,0.098294,0.460000
4409.765311,0.361706,2,2,4,2,2,1,0,1,6,0.098294,0.460000
4421.152663,0.361706,1,2,5,2,2,2,0,1,6,0.098294,0.460000
4949.074861,0.299345,1,1,4,2,2,2,0,1,6,0.160655,0.460000
4746.406556,0.430456,1,2,4,2,2,2,0,1,7,0.029544,0.460000
4299.857382,0.192679,1,1,4,2,2,2,0,1,5,0.267321,0.460000
3718.944417,0.238175,1,2,4,2,2,2,0,1,5,0.221825,0.460000
3727.791749,0.238175,1,2,4,2,2,1,0,1,5,0.221825,0.460000
3737.823598,0.238175,1,2,3,2,2,2,0,1,5,0.221825,0.460000
2543.632525,0.104841,1,2,4,2,2,2,0,1,3,0.355159,0.460000
4938.532411,0.326667,2,0,2,1,1,4,1,0,5,0.133333,0.460000
4752.196094,0.387464,1,2,3,2,1,2,0,1,6,0.072536,0.460000
3728.453057,0.238175,2,2,4,2,2,2,0,1,5,0.221825,0.460000
4761.411930,0.430456,1,2,4,2,2,1,0,1,7,0.029544,0.460000
4402.931842,0.361706,1,2,4,2,2,4,0,1,6,0.098294,0.460000
4508.114700,0.350675,1,2,4,1,2,2,0,1,6,0.109325,0.460000
6540.265544,0.388952,0,1,4,0,2,6,0,0,6,0.071048,0.460000
3719.945190,0.238175,0,2,4,2,2,2,0,1,5,0.221825,0.460000
5827.320047,0.480000,0,0,1,2,2,2,0,0,6,0.000000,0.460000
5808.665911,0.388952,2,1,5,1,2,7,0,0,0,0.071048,0.460000
3423.552032,0.188932,1,2,4,2,1,2,0,1,4,0.271068,0.460000
3705.357367,0.074583,1,1,5,0,2,6,1,1,5,0.385417,0.460000
4746.388402,0.430456,1,2,5,2,2,2,0,1,7,0.029544,0.460000
4993.854596,0.474901,1,2,4,2,2,1,0,1,8,0.000000,0.460000
4994.918796,0.474901,1,2,4,2,2,2,0,1,8,0.000000,0.460000
4749.848285,0.430456,1,2,4,2,2,4,0,1,7,0.029544,0.460000
4414.699333,0.361706,2,2,5,2,2,2,0,1,6,0.098294,0.460000
3730.329671,0.238175,1,2,5,2,2,2,0,1,5,0.221825,0.460000
4918.357765,0.299345,1,1,4,2,2,3,0,1,6,0.160655,0.460000
4877.905349,0.449583,0,2,3,1,2,4,1,0,2,0.010417,0.460000
