idx,time_ms,accuracy,count_and_lower_words_decision_0,count_and_lower_words_decision_1,count_and_lower_words_threshold_0,lowering_corpus_decision_0,lowering_corpus_decision_1,lowering_corpus_threshold_0,score_term_over_docs_decision_0,score_term_over_docs_decision_1,score_term_over_docs_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,qos_loss,exact_accuracy
1,36707.450654,0.382762,0,0,0,0,0,0,0,0,0,0,0,0,0.102238,0.485000
2,29836.062347,0.383476,1,1,0,0,0,0,0,0,0,0,0,0,0.101524,0.485000
3,29455.243410,0.399476,1,1,0,0,0,0,1,1,0,0,0,0,0.085524,0.485000
4,28904.476654,0.328762,1,1,0,0,0,0,2,2,0,0,0,0,0.156238,0.485000
5,26096.485386,0.342476,1,1,0,1,1,0,0,0,0,0,0,0,0.142524,0.485000
6,25701.115119,0.352095,1,1,0,1,1,0,1,1,0,0,0,0,0.132905,0.485000
7,25041.902336,0.324000,1,1,0,1,1,0,2,2,0,0,0,0,0.161000,0.485000
8,22199.039510,0.340190,1,1,0,2,2,0,0,0,0,0,0,0,0.144810,0.485000
9,21837.389282,0.353286,1,1,0,2,2,0,1,1,0,0,0,0,0.131714,0.485000
10,21384.863043,0.379476,1,1,0,2,2,0,2,2,0,0,0,0,0.105524,0.485000
11,17177.903088,0.397190,1,1,0,3,3,0,0,0,0,0,0,0,0.087810,0.485000
12,16943.853363,0.361619,1,1,0,3,3,0,1,1,0,0,0,0,0.123381,0.485000
13,16587.277606,0.289667,1,1,0,3,3,0,2,2,0,0,0,0,0.195333,0.485000
14,36220.083637,0.382762,0,0,0,0,0,0,0,0,0,0,0,0,0.102238,0.485000
1,36770.794144,0.383476,0,0,0,0,0,0,0,0,0,0,0,0,0.101524,0.485000
2,29846.569625,0.383476,1,1,0,0,0,0,0,0,0,0,0,0,0.101524,0.485000
3,29468.353827,0.399476,1,1,0,0,0,0,1,1,0,0,0,0,0.085524,0.485000
4,28942.320351,0.328762,1,1,0,0,0,0,2,2,0,0,0,0,0.156238,0.485000
5,26098.140237,0.342476,1,1,0,1,1,0,0,0,0,0,0,0,0.142524,0.485000
6,25707.437505,0.352095,1,1,0,1,1,0,1,1,0,0,0,0,0.132905,0.485000
7,25076.460890,0.324000,1,1,0,1,1,0,2,2,0,0,0,0,0.161000,0.485000
8,22201.510983,0.331619,1,1,0,2,2,0,0,0,0,0,0,0,0.153381,0.485000
9,21820.624685,0.361857,1,1,0,2,2,0,1,1,0,0,0,0,0.123143,0.485000
10,21393.563517,0.390905,1,1,0,2,2,0,2,2,0,0,0,0,0.094095,0.485000
11,17172.561825,0.417190,1,1,0,3,3,0,0,0,0,0,0,0,0.067810,0.485000
12,16918.931033,0.365619,1,1,0,3,3,0,1,1,0,0,0,0,0.119381,0.485000
13,16574.222546,0.309667,1,1,0,3,3,0,2,2,0,0,0,0,0.175333,0.485000
14,36277.151785,0.383476,0,0,0,0,0,0,0,0,0,0,0,0,0.101524,0.485000
