time_ms,accuracy,compute_similarities_with_state_decision_0,compute_similarities_with_state_decision_1,compute_similarities_with_state_threshold_0,parse_embedding_decision_0,parse_embedding_decision_1,parse_embedding_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0
4565.717792,0.481389,2,2,3,2,1,10,0,1,10
4166.137804,0.311944,2,2,3,2,1,10,0,1,6
3967.672389,0.031250,0,1,1,0,2,5,1,0,8
4409.464610,0.436944,2,2,2,2,1,10,0,1,7
4398.994658,0.436944,2,2,4,2,1,10,0,1,7
4410.535071,0.436944,0,2,4,2,1,10,0,1,7
4529.479598,0.481389,2,2,4,2,1,10,0,1,9
2716.839730,0.055556,2,2,4,2,1,10,1,1,7
5140.399124,0.031250,0,0,3,1,0,6,1,1,3
5863.531961,0.485480,1,2,4,1,1,6,1,0,2
4878.535469,0.485480,1,2,4,1,1,5,1,0,2
3261.263204,0.005556,2,2,4,1,1,5,1,1,2
6027.375775,0.485480,0,2,1,0,1,7,0,1,10
5523.973971,0.485480,1,2,4,1,0,5,1,0,2
5076.568293,0.075000,0,1,3,0,0,4,1,0,7
5409.094709,0.485480,1,2,4,0,1,4,1,0,2
3873.597903,0.031250,1,0,3,0,1,1,1,0,10
3501.406434,0.135556,0,2,2,2,1,9,0,1,4
4867.122533,0.485480,1,2,5,1,1,5,1,0,2
5349.864514,0.485480,1,2,5,1,1,4,1,0,2
4833.353517,0.460480,1,2,5,1,1,5,1,0,3
4840.481554,0.460480,2,2,5,1,1,4,1,0,3
5495.495660,0.460480,1,2,5,1,1,4,1,0,3
4833.248831,0.460480,1,2,5,1,1,6,1,0,3
4490.418983,0.456389,1,2,5,2,1,6,1,0,3
4553.784486,0.456389,1,2,5,2,1,5,1,0,3
4527.355093,0.481389,1,2,5,2,1,6,1,0,2
4292.269599,0.456389,1,2,5,2,2,6,1,0,3
4285.653411,0.456389,1,2,5,2,2,5,1,0,3
3457.954094,0.255556,1,2,5,2,2,6,1,0,5
4325.903353,0.481389,1,2,5,2,2,5,1,0,2
4560.479651,0.481389,1,2,5,2,2,5,0,0,3
3451.945020,0.255556,1,2,5,2,2,5,1,0,5
4010.819178,0.376389,1,2,5,1,2,4,1,0,4
7476.093922,0.469091,0,0,3,2,0,4,0,1,8
5255.125034,0.075000,1,1,5,1,0,10,1,0,7
5878.723869,0.484091,0,0,3,2,0,7,0,1,8
6417.896991,0.444091,2,1,2,2,1,1,0,0,5
5764.435160,0.440341,0,0,3,2,0,7,0,1,7
5577.956687,0.290341,0,0,3,2,0,7,0,1,6
5704.576389,0.440341,0,0,2,2,0,7,0,1,7
5739.127316,0.440341,2,0,3,2,0,7,0,1,7
5349.768303,0.480000,0,0,2,2,0,10,0,1,8
5418.586048,0.480000,0,0,2,2,0,10,0,1,9
5485.315628,0.481389,0,2,2,2,0,10,0,1,8
5502.224090,0.480000,0,0,2,2,1,10,0,1,8
5887.790313,0.469091,0,0,2,1,2,10,0,1,8
5448.683364,0.480000,0,0,3,2,0,10,0,1,8
6794.495744,0.480000,2,0,2,2,1,10,0,1,8
5481.330689,0.480000,0,0,2,2,0,9,0,1,8
3758.934012,0.056250,0,0,3,2,0,10,1,1,8
7756.736510,0.469091,0,0,2,0,0,6,0,1,8
5421.932444,0.480000,0,0,1,2,0,10,0,1,8
5203.711791,0.480000,2,0,2,2,2,10,0,1,8
7537.764865,0.469091,2,0,2,0,2,10,0,1,8
3434.730466,0.056250,2,0,2,2,2,10,1,1,8
3594.252173,0.056250,2,0,2,2,2,10,1,0,8
3695.675523,0.055556,2,2,2,2,2,10,1,1,8
4007.687692,0.030556,0,2,2,2,0,7,1,1,2
7000.791253,0.460480,0,2,2,2,0,1,1,0,2
4493.553997,0.005556,2,2,2,0,1,9,1,1,5
5949.401633,0.435480,0,2,2,2,0,1,1,0,3
6070.822294,0.485480,0,2,2,1,0,1,1,0,2
4953.139812,0.031250,1,1,3,0,0,5,1,1,0
4260.725406,0.456389,0,2,4,2,2,1,1,0,3
4275.696651,0.456389,1,2,4,2,2,1,1,0,3
4518.629364,0.481389,1,2,4,2,2,1,0,0,6
4639.071211,0.455000,2,1,5,2,1,10,1,0,0
4260.155560,0.456389,0,2,5,2,2,1,1,0,3
4759.544437,0.435480,0,2,5,2,1,1,1,0,3
4264.312307,0.456389,0,2,5,2,2,2,1,0,3
4757.066892,0.480000,0,0,5,2,2,1,0,0,3
4318.456362,0.481389,0,2,5,2,2,1,1,0,2
4583.689290,0.455000,0,0,5,2,2,1,1,0,3
6668.784795,0.469091,1,0,3,2,0,1,0,0,6
3806.226732,0.376389,0,2,5,2,2,1,1,0,4
4270.190594,0.456389,0,2,4,2,2,4,1,0,3
3481.867531,0.255556,1,2,5,2,2,1,1,0,5
4453.525218,0.460480,0,2,5,0,2,1,1,0,3
3795.468599,0.376389,0,2,5,2,2,3,1,0,4
5194.285816,0.031250,2,0,5,0,0,9,1,1,9
4463.680786,0.419091,0,1,5,1,2,1,1,0,3
4314.510781,0.460480,0,2,5,1,2,1,1,0,3
4536.057238,0.031250,0,0,2,1,1,5,1,0,8
3932.244693,0.056250,1,0,2,2,0,9,1,1,3
3359.585811,0.056250,1,0,2,2,0,8,1,1,3
5616.652362,0.436944,2,2,5,2,1,5,0,1,7
4872.226440,0.481389,0,2,1,2,1,3,0,1,8
4876.192143,0.481389,0,2,1,2,1,3,0,1,10
6087.958220,0.469091,0,0,1,1,0,5,1,0,0
4727.316207,0.031250,2,0,3,0,2,8,1,0,9
5826.500528,0.481389,0,2,1,2,0,3,0,1,8
4359.264686,0.436944,0,2,1,2,1,10,0,1,7
3489.509337,0.031250,0,1,5,1,1,10,1,1,9
5232.292297,0.469091,0,0,4,2,1,2,0,1,9
3278.192810,0.031250,0,0,3,2,1,5,1,1,5
4500.773159,0.481389,0,2,1,2,1,10,0,1,9
2913.909179,0.055556,0,2,1,2,1,10,0,1,2
5349.532232,0.460480,0,2,1,0,1,4,1,0,3
