time_ms,accuracy,compute_similarities_with_state_decision_0,compute_similarities_with_state_decision_1,compute_similarities_with_state_threshold_0,parse_embedding_decision_0,parse_embedding_decision_1,parse_embedding_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,idx,qos_loss,exact_accuracy
6802.158153,0.481101,0,0,1,0,0,1,0,0,3,,0.000000,0.402000
6570.585267,0.467767,0,0,1,2,0,1,0,0,1,,0.000000,0.402000
4620.429004,0.301524,2,0,5,2,0,3,1,0,4,,0.100476,0.402000
4273.003358,0.340667,2,2,3,1,2,8,0,0,1,,0.061333,0.402000
2560.383646,0.185661,1,2,1,0,2,3,1,0,9,,0.216339,0.402000
6566.694690,0.467767,0,0,2,2,0,1,0,0,0,,0.000000,0.402000
6571.217417,0.467767,0,0,3,2,0,1,0,0,0,,0.000000,0.402000
4696.673548,0.222732,0,0,2,2,0,1,0,1,0,,0.179268,0.402000
2640.172391,0.158360,2,2,2,2,0,6,0,1,0,,0.243640,0.402000
6151.556042,0.422053,0,1,2,2,0,1,0,0,0,,0.000000,0.402000
5921.821737,0.432720,0,1,2,2,0,2,0,0,0,,0.000000,0.402000
5522.266111,0.411831,0,2,2,2,0,2,0,0,0,,0.000000,0.402000
5820.323651,0.450497,0,1,2,2,0,3,0,0,0,,0.000000,0.402000
4763.192470,0.437164,1,1,1,2,1,1,0,0,0,,0.000000,0.402000
4703.209434,0.437164,1,1,1,2,1,2,0,0,0,,0.000000,0.402000
4710.231155,0.437164,1,1,1,2,1,2,0,0,1,,0.000000,0.402000
4664.542375,0.437164,1,1,2,2,1,3,0,0,0,,0.000000,0.402000
4654.787876,0.437164,1,1,2,2,1,3,0,0,1,,0.000000,0.402000
4761.823718,0.437164,1,1,2,2,1,1,0,0,1,,0.000000,0.402000
4664.690905,0.437164,1,1,1,2,1,3,0,0,1,,0.000000,0.402000
4706.786193,0.437164,1,1,2,2,1,2,0,0,1,,0.000000,0.402000
4661.631603,0.437164,1,1,2,2,1,3,0,0,2,,0.000000,0.402000
4446.881643,0.380381,1,2,3,2,1,3,0,0,1,,0.021619,0.402000
4837.177706,0.426053,1,1,2,1,1,3,0,0,1,,0.000000,0.402000
4618.543251,0.437164,1,1,2,2,1,4,0,0,1,,0.000000,0.402000
4837.317181,0.426053,1,1,2,1,1,4,0,0,1,,0.000000,0.402000
3502.986926,0.222732,0,1,5,2,1,3,1,1,0,,0.179268,0.402000
4055.546094,0.355270,2,1,5,2,1,7,0,1,7,,0.046730,0.402000
6563.825597,0.467767,0,0,2,2,0,1,0,0,3,,0.000000,0.402000
6544.625331,0.467767,0,0,1,2,0,1,0,0,3,,0.000000,0.402000
6832.251680,0.481101,0,0,1,0,0,1,0,0,3,,0.000000,0.402000
6540.871051,0.467767,0,0,1,2,0,1,0,0,1,,0.000000,0.402000
4601.296131,0.301524,2,0,5,2,0,3,1,0,4,,0.100476,0.402000
4268.483223,0.340667,2,2,3,1,2,8,0,0,1,,0.061333,0.402000
2541.107958,0.185661,1,2,1,0,2,3,1,0,9,,0.216339,0.402000
6536.223687,0.467767,0,0,2,2,0,1,0,0,0,,0.000000,0.402000
6544.958371,0.467767,0,0,3,2,0,1,0,0,0,,0.000000,0.402000
4651.147086,0.222732,0,0,2,2,0,1,0,1,0,,0.179268,0.402000
2630.376811,0.158360,2,2,2,2,0,6,0,1,0,,0.243640,0.402000
6134.083221,0.422053,0,1,2,2,0,1,0,0,0,,0.000000,0.402000
6338.073622,0.467767,0,0,2,2,0,2,0,0,0,,0.000000,0.402000
5917.260563,0.442878,0,1,2,2,0,2,0,0,0,,0.000000,0.402000
5757.623365,0.450497,0,1,2,2,0,3,0,0,0,,0.000000,0.402000
4749.212623,0.437164,1,1,1,2,1,1,0,0,0,,0.000000,0.402000
5535.824609,0.437164,0,1,2,2,0,4,0,0,0,,0.000000,0.402000
5631.424640,0.446053,0,1,1,2,0,3,0,0,0,,0.000000,0.402000
5636.419605,0.450497,0,1,1,2,0,3,0,0,1,,0.000000,0.402000
5879.204542,0.472720,0,1,1,2,0,2,0,0,0,,0.000000,0.402000
5226.174179,0.450497,0,1,1,2,0,5,0,0,0,,0.000000,0.402000
5478.354708,0.437164,0,1,1,2,0,4,0,0,0,,0.000000,0.402000
5186.934462,0.437164,1,1,1,2,0,5,0,0,1,,0.000000,0.402000
5187.809819,0.437164,1,1,1,2,0,5,0,0,0,,0.000000,0.402000
5255.763245,0.450497,0,1,1,2,0,5,0,0,2,,0.000000,0.402000
5434.938726,0.423831,0,1,1,2,0,4,0,0,1,,0.000000,0.402000
5137.640600,0.432720,0,1,1,2,0,6,0,0,0,,0.000000,0.402000
5343.646001,0.439831,0,1,2,2,0,5,0,0,1,,0.000000,0.402000
3520.431054,0.222732,0,1,5,2,1,3,1,1,0,,0.179268,0.402000
4060.558614,0.369556,2,1,5,2,1,7,0,1,7,,0.032444,0.402000
6538.977524,0.467767,0,0,2,2,0,1,0,0,3,,0.000000,0.402000
6523.678417,0.467767,0,0,1,2,0,1,0,0,3,,0.000000,0.402000
6841.065293,0.481101,0,0,1,0,0,1,0,0,3,,0.000000,0.402000
6524.697306,0.467767,0,0,1,2,0,1,0,0,1,,0.000000,0.402000
4606.687987,0.315810,2,0,5,2,0,3,1,0,4,,0.086190,0.402000
4272.114665,0.354952,2,2,3,1,2,8,0,0,1,,0.047048,0.402000
2548.996998,0.161727,1,2,1,0,2,3,1,0,9,,0.240273,0.402000
6247.665985,0.424434,0,0,1,2,0,1,1,0,3,,0.000000,0.402000
2617.170101,0.158360,2,2,2,2,0,6,0,1,0,,0.243640,0.402000
6323.482758,0.467767,0,0,1,2,0,2,0,0,3,,0.000000,0.402000
6311.961436,0.467767,0,0,1,2,0,2,0,0,2,,0.000000,0.402000
6100.696932,0.467767,0,0,1,2,0,3,0,0,2,,0.000000,0.402000
6310.338923,0.467767,0,0,1,2,0,2,0,0,0,,0.000000,0.402000
6511.681574,0.467767,0,0,1,2,0,1,0,0,2,,0.000000,0.402000
6097.876490,0.467767,0,0,1,2,0,3,0,0,1,,0.000000,0.402000
6113.333083,0.467767,0,0,1,2,0,3,0,0,0,,0.000000,0.402000
6100.782804,0.467767,0,0,2,2,0,3,0,0,1,,0.000000,0.402000
5910.598746,0.467767,0,0,1,2,0,4,0,0,1,,0.000000,0.402000
5833.407132,0.467767,1,0,1,2,0,4,0,0,1,,0.000000,0.402000
5586.893260,0.466497,1,0,1,2,0,5,0,0,1,,0.000000,0.402000
5549.076878,0.448720,1,0,2,2,0,5,0,0,0,,0.000000,0.402000
5419.054416,0.467767,1,0,1,2,0,6,0,0,1,,0.000000,0.402000
5202.566189,0.467767,1,0,1,2,0,7,0,0,1,,0.000000,0.402000
5221.740986,0.432720,1,0,1,2,0,7,0,0,2,,0.000000,0.402000
4962.419085,0.467767,2,0,1,2,0,8,0,0,1,,0.000000,0.402000
4776.995776,0.466021,2,0,1,2,0,9,0,0,1,,0.000000,0.402000
4742.881755,0.467767,2,0,1,2,0,9,0,0,0,,0.000000,0.402000
7411.281211,0.481101,0,0,0,0,0,0,0,0,0,1,0.000000,0.402000
5322.982291,0.481101,0,0,0,1,1,0,0,0,0,2,0.000000,0.402000
4760.776364,0.467767,0,0,0,2,2,0,0,0,0,3,0.000000,0.402000
6162.695739,0.426053,1,1,0,0,0,0,0,0,0,4,0.000000,0.402000
4851.799296,0.426053,1,1,0,1,1,0,0,0,0,5,0.000000,0.402000
4340.074538,0.419386,1,1,0,2,2,0,0,0,0,6,0.000000,0.402000
5493.450645,0.377810,2,2,0,0,0,0,0,0,0,7,0.024190,0.402000
4364.749146,0.377810,2,2,0,1,1,0,0,0,0,8,0.024190,0.402000
3964.994571,0.384476,2,2,0,2,2,0,0,0,0,9,0.017524,0.402000
6822.953463,0.481101,0,0,0,0,0,0,0,0,0,10,0.000000,0.402000
