time_ms,accuracy,count_and_lower_words_decision_0,count_and_lower_words_decision_1,count_and_lower_words_threshold_0,lowering_corpus_decision_0,lowering_corpus_decision_1,lowering_corpus_threshold_0,score_term_over_docs_decision_0,score_term_over_docs_decision_1,score_term_over_docs_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,idx,qos_loss,exact_accuracy
14654.706718,0.106138,0,1,19,3,2,4,2,2,24,1,0,10,,0.378862,0.485000
27072.592516,0.369905,1,1,13,0,0,3,2,2,4,0,0,4,,0.115095,0.485000
19862.460200,0.398222,0,0,42,1,3,1,1,0,31,0,0,2,,0.086778,0.485000
20519.939002,0.383365,0,0,42,1,3,1,1,0,23,0,0,2,,0.101635,0.485000
24990.224782,0.364095,0,0,42,1,2,1,1,0,31,0,0,2,,0.120905,0.485000
18935.508056,0.344635,0,1,1,1,3,3,2,2,3,0,1,9,,0.140365,0.485000
25355.392373,0.364317,1,1,38,1,0,4,1,0,8,0,0,7,,0.120683,0.485000
30581.122630,0.373873,1,0,367,3,0,1,1,2,3,0,1,9,,0.111127,0.485000
19742.916432,0.362603,0,1,176,2,2,3,2,2,3,0,0,3,,0.122397,0.485000
19966.796935,0.373873,0,1,1,1,3,3,2,1,4,0,0,10,,0.111127,0.485000
22170.391726,0.371238,0,1,3,3,1,1,1,2,9,0,0,2,,0.113762,0.485000
21402.335171,0.342603,0,1,127,3,1,2,2,2,7,0,0,5,,0.142397,0.485000
20491.898444,0.347683,1,1,127,3,1,2,2,2,15,0,0,5,,0.137317,0.485000
19378.751623,0.091915,0,0,34,1,3,2,2,1,27,0,1,4,,0.393085,0.485000
21241.032562,0.336571,1,1,127,3,1,2,2,2,15,0,0,6,,0.148429,0.485000
33722.606164,0.356127,0,0,10,0,0,5,1,2,32,0,1,9,,0.128873,0.485000
24658.809598,0.314730,0,1,127,0,1,2,2,2,15,0,0,5,,0.170270,0.485000
20243.691390,0.420508,1,1,127,3,1,2,2,0,15,0,0,5,,0.064492,0.485000
20579.266175,0.390519,1,1,15,3,1,2,2,0,15,0,0,5,,0.094481,0.485000
22676.329476,0.362381,1,1,127,3,1,2,0,0,15,0,0,5,,0.122619,0.485000
16946.117205,0.123958,1,0,9,2,3,1,2,2,9,0,1,2,,0.361042,0.485000
21014.173620,0.394095,1,1,127,3,1,2,2,0,21,0,0,5,,0.090905,0.485000
28404.552523,0.361238,0,0,666,2,0,4,1,0,34,1,0,4,,0.123762,0.485000
28561.283993,0.355365,0,0,666,2,0,4,1,0,33,1,0,3,,0.129635,0.485000
26168.879237,0.407905,0,1,1,0,2,5,1,1,14,0,0,0,,0.077095,0.485000
25697.224221,0.410127,0,1,1,0,3,5,1,1,40,0,0,0,,0.074873,0.485000
27597.600813,0.349873,0,0,778,0,2,2,1,1,24,0,0,6,,0.135127,0.485000
28211.159197,0.419746,0,0,3,2,1,1,2,0,22,0,0,0,,0.065254,0.485000
26127.369089,0.370794,1,1,1,0,3,5,1,2,5,0,0,0,,0.114206,0.485000
24203.596193,0.136921,0,0,244,2,0,5,2,2,39,1,0,8,,0.348079,0.485000
19633.300920,0.425937,1,1,1,2,3,5,1,1,33,0,0,0,,0.059063,0.485000
23067.633955,0.373841,1,1,1,1,3,5,1,1,33,0,0,9,,0.111159,0.485000
13198.625525,0.083280,0,1,1,3,3,2,2,2,28,0,1,2,,0.401720,0.485000
12801.656763,0.083280,0,1,1,3,3,2,2,2,28,0,1,1,,0.401720,0.485000
14486.012742,0.212825,0,1,1,3,3,2,0,2,28,0,1,7,,0.272175,0.485000
22085.451828,0.083111,0,1,63,1,0,5,2,1,11,0,1,4,,0.401889,0.485000
14688.809659,0.215492,0,1,1,3,3,2,0,2,29,0,1,7,,0.269508,0.485000
14392.372862,0.231206,0,1,1,3,3,2,1,0,29,0,1,7,,0.253794,0.485000
26508.952664,0.125884,1,0,1,1,2,5,1,0,37,1,1,10,,0.359116,0.485000
14355.518486,0.227873,0,1,1,3,3,3,1,0,31,0,1,7,,0.257127,0.485000
16114.086366,0.253788,0,1,1,2,3,2,1,0,29,0,1,7,,0.231212,0.485000
15129.878879,0.235905,0,1,1,2,3,1,1,0,29,0,1,7,,0.249095,0.485000
14968.392948,0.083799,0,1,1,2,3,2,1,0,29,0,1,2,,0.401201,0.485000
16604.334191,0.227841,0,1,1,2,3,3,1,0,35,0,1,7,,0.257159,0.485000
17252.978970,0.259460,0,0,1,3,3,2,1,0,29,0,1,7,,0.225540,0.485000
19070.898468,0.114106,0,1,17,2,1,5,0,2,30,1,1,1,,0.370894,0.485000
29151.824270,0.122074,1,0,593,1,0,2,2,2,14,0,1,1,,0.362926,0.485000
30961.122341,0.126762,0,0,593,0,0,2,1,2,14,0,1,1,,0.358238,0.485000
26822.613896,0.369016,0,1,2,0,0,4,2,2,12,0,0,5,,0.115984,0.485000
23431.301007,0.078677,1,0,21,3,0,3,1,2,27,1,1,1,,0.406323,0.485000
26768.665540,0.369016,0,1,2,0,0,4,2,2,12,0,0,6,,0.115984,0.485000
19336.117721,0.358540,0,1,2,3,0,4,2,1,12,0,0,6,,0.126460,0.485000
27947.196419,0.404698,1,1,98,0,0,1,0,1,6,0,0,7,,0.080302,0.485000
18843.614707,0.370349,0,1,2,3,0,4,2,1,6,0,0,6,,0.114651,0.485000
16754.698161,0.341778,0,1,2,3,0,5,2,1,6,0,0,6,,0.143222,0.485000
17995.603777,0.382413,0,1,2,3,0,4,2,1,9,0,0,6,,0.102587,0.485000
27644.378263,0.110836,0,0,94,3,0,2,0,0,4,0,1,4,,0.374164,0.485000
31067.776128,0.337714,0,0,1,1,0,2,2,2,38,0,0,7,,0.147286,0.485000
31210.438003,0.377238,0,0,1,1,0,2,2,2,39,0,0,7,,0.107762,0.485000
28982.403861,0.259143,0,0,1,1,0,4,2,2,39,0,1,7,,0.225857,0.485000
22066.735898,0.089439,0,0,384,3,1,2,1,1,1,1,1,6,,0.395561,0.485000
26575.701620,0.434984,0,1,66,1,0,3,1,0,25,0,0,9,,0.050016,0.485000
23981.741856,0.115323,0,1,224,1,0,2,1,0,25,1,0,9,,0.369677,0.485000
17859.152735,0.401714,0,0,2,3,3,3,1,0,33,0,1,10,,0.083286,0.485000
20842.899710,0.096878,1,1,36,2,0,4,1,2,31,1,1,4,,0.388122,0.485000
19789.287552,0.394286,1,0,39,3,1,5,0,2,28,0,0,0,,0.090714,0.485000
16026.170854,0.084180,1,1,10,3,2,3,0,1,21,1,1,3,,0.400820,0.485000
15053.836853,0.080370,1,1,7,3,2,3,0,1,21,1,1,3,,0.404630,0.485000
15422.887018,0.093704,1,1,1,3,2,3,0,1,36,1,1,3,,0.391296,0.485000
22250.347616,0.200455,0,0,328,3,1,3,1,0,12,1,0,7,,0.284545,0.485000
21458.844279,0.173788,0,0,328,3,1,3,0,0,13,1,0,7,,0.311212,0.485000
26688.137028,0.409185,0,1,14,0,1,5,0,2,21,0,0,4,,0.075815,0.485000
24500.453331,0.186487,1,1,497,0,1,4,2,2,36,1,0,7,,0.298513,0.485000
31909.473893,0.392127,1,0,219,0,1,5,1,2,37,0,0,8,,0.092873,0.485000
26874.271857,0.362635,1,0,796,0,3,4,1,2,30,0,0,1,,0.122365,0.485000
27505.769722,0.412984,0,1,14,0,1,5,0,0,21,0,0,4,,0.072016,0.485000
28601.310323,0.199143,0,0,74,1,0,3,2,2,23,0,1,6,,0.285857,0.485000
19325.939280,0.087439,1,1,9,2,0,5,2,1,36,1,1,7,,0.397561,0.485000
21532.996313,0.096667,1,1,5,2,0,3,2,1,3,1,1,8,,0.388333,0.485000
21603.632676,0.089471,1,1,8,2,0,3,2,1,3,1,1,7,,0.395529,0.485000
