time_ms,accuracy,count_and_lower_words_decision_0,count_and_lower_words_decision_1,count_and_lower_words_threshold_0,lowering_corpus_decision_0,lowering_corpus_decision_1,lowering_corpus_threshold_0,score_term_over_docs_decision_0,score_term_over_docs_decision_1,score_term_over_docs_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,qos_loss,exact_accuracy
29358.698015,0.355556,1,1,3,0,0,3,0,0,29,0,1,10,0.024444,0.380000
20532.839491,0.327639,1,1,53,2,2,2,0,2,25,1,0,4,0.052361,0.380000
19284.628362,0.043056,1,1,236,2,2,2,0,2,23,1,0,9,0.336944,0.380000
20001.977817,0.285278,1,1,181,2,2,2,0,2,27,1,0,5,0.094722,0.380000
29452.924826,0.348095,0,0,4,1,1,1,0,1,17,1,0,1,0.031905,0.380000
28560.194951,0.391806,1,0,6,3,1,3,2,2,28,1,0,3,0.000000,0.380000
14913.785057,0.322917,0,1,22,2,3,3,2,0,11,0,0,1,0.057083,0.380000
27276.124555,0.421944,1,1,10,1,0,1,2,1,26,0,0,0,0.000000,0.380000
21680.463498,0.022276,1,1,338,3,1,2,2,1,36,1,1,10,0.357724,0.380000
15230.246302,0.304167,1,1,3,2,3,4,0,0,10,0,1,9,0.075833,0.380000
29588.390222,0.390456,0,0,1,3,1,1,0,1,35,0,0,8,0.000000,0.380000
20562.883585,0.394425,0,1,612,3,2,3,0,1,26,0,0,9,0.000000,0.380000
32638.164595,0.016250,1,0,22,0,0,2,0,0,21,1,1,6,0.363750,0.380000
24443.600668,0.345139,1,0,49,3,2,1,1,1,21,0,0,5,0.034861,0.380000
26160.172767,0.061250,0,1,2,3,0,1,1,1,32,1,0,9,0.318750,0.380000
17039.340560,0.160000,1,0,1,2,3,5,0,1,1,1,0,7,0.220000,0.380000
14964.941446,0.322917,0,1,22,2,3,2,2,0,11,0,0,1,0.057083,0.380000
15025.170439,0.322917,0,1,22,2,3,3,2,0,11,0,0,8,0.057083,0.380000
28068.219013,0.121032,0,0,7,0,1,1,1,1,7,1,0,7,0.258968,0.380000
31582.555577,0.027083,1,0,1,1,0,1,2,2,25,1,1,4,0.352917,0.380000
34006.956184,0.403056,0,0,15,3,0,4,2,1,31,0,0,3,0.000000,0.380000
16214.753849,0.005000,0,0,5,2,3,1,2,0,7,0,1,0,0.375000,0.380000
31742.073613,0.039046,0,0,258,1,0,5,2,1,13,1,1,0,0.340954,0.380000
15034.323468,0.339087,0,1,22,2,3,3,2,0,2,0,0,1,0.040913,0.380000
14920.580211,0.322917,0,1,22,2,3,3,2,0,11,0,0,2,0.057083,0.380000
18682.773450,0.051050,0,1,51,3,2,2,0,1,19,1,0,10,0.328950,0.380000
13045.086426,0.072698,1,1,115,1,3,5,2,1,2,1,1,10,0.307302,0.380000
14866.393380,0.322917,1,1,22,2,3,3,2,0,11,0,0,1,0.057083,0.380000
30231.461431,0.363889,0,0,513,0,1,3,0,0,28,0,1,10,0.016111,0.380000
29297.311181,0.363889,0,0,141,0,1,3,0,0,31,0,1,10,0.016111,0.380000
19314.837258,0.175694,1,1,2,1,2,3,0,2,6,1,0,7,0.204306,0.380000
29265.575168,0.363889,1,0,10,0,1,3,0,0,31,0,0,5,0.016111,0.380000
24558.721229,0.430337,0,0,10,0,2,3,0,0,31,0,0,5,0.000000,0.380000
24493.191856,0.430337,0,0,8,0,2,3,0,0,31,0,0,5,0.000000,0.380000
27214.285813,0.375198,1,1,36,0,0,4,2,0,25,1,0,1,0.004802,0.380000
24555.159869,0.430337,0,0,8,0,2,3,0,0,26,0,0,5,0.000000,0.380000
24530.956998,0.349861,0,0,8,0,2,3,0,1,31,0,0,5,0.030139,0.380000
15139.612162,0.304167,0,1,8,0,3,3,0,0,31,0,0,5,0.075833,0.380000
24535.134017,0.430337,0,0,14,0,2,3,0,0,37,0,0,6,0.000000,0.380000
33690.993412,0.408532,1,0,859,1,0,5,1,0,5,1,0,0,0.000000,0.380000
24534.046379,0.430337,0,0,8,0,2,3,0,0,15,0,0,4,0.000000,0.380000
24568.468839,0.430337,0,0,8,0,2,4,0,0,31,0,0,5,0.000000,0.380000
16231.418761,0.007143,0,0,8,2,3,3,0,0,31,0,1,2,0.372857,0.380000
24440.025806,0.430337,0,0,8,0,2,3,0,0,29,0,0,4,0.000000,0.380000
24444.785208,0.430337,0,0,8,0,2,3,0,0,24,0,0,5,0.000000,0.380000
24445.510633,0.430337,0,0,8,0,2,2,0,0,31,0,0,4,0.000000,0.380000
29156.874088,0.363889,0,0,8,0,1,3,0,0,29,0,0,4,0.016111,0.380000
14652.045254,0.348359,0,1,61,2,3,5,2,0,26,1,0,4,0.031641,0.380000
28022.604820,0.355556,1,1,53,0,0,5,0,0,25,0,0,9,0.024444,0.380000
31816.594497,0.011250,0,0,7,3,0,5,1,1,15,1,1,4,0.368750,0.380000
28981.363262,0.348095,0,0,1,2,1,2,0,1,15,0,0,3,0.031905,0.380000
14727.426927,0.348359,0,1,61,2,3,5,2,0,26,1,0,1,0.031641,0.380000
26750.451301,0.119286,0,0,6,0,1,5,2,1,38,1,0,8,0.260714,0.380000
14641.730322,0.333279,0,1,22,2,3,5,2,0,31,1,0,4,0.046721,0.380000
22517.391719,0.027276,1,1,88,1,1,3,2,1,39,1,1,7,0.352724,0.380000
21846.244276,0.027276,1,1,66,1,1,3,2,1,39,1,1,7,0.352724,0.380000
13422.825305,0.026032,1,1,31,1,3,5,0,2,29,0,1,3,0.353968,0.380000
