time_ms,accuracy,count_and_lower_words_decision_0,count_and_lower_words_decision_1,count_and_lower_words_threshold_0,lowering_corpus_decision_0,lowering_corpus_decision_1,lowering_corpus_threshold_0,score_term_over_docs_decision_0,score_term_over_docs_decision_1,score_term_over_docs_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,compute_similarities_with_state_decision_0,compute_similarities_with_state_decision_1,compute_similarities_with_state_threshold_0,parse_embedding_decision_0,parse_embedding_decision_1,parse_embedding_threshold_0
28299.814787,0.355556,0,1,16,3,0,1,0,0,15,1,0,0,,,,,,
28237.129352,0.458333,0,1,3,3,0,3,0,1,15,1,0,0,,,,,,
23197.475577,0.007143,1,1,43,0,1,5,1,1,22,0,1,3,,,,,,
29423.095865,0.355556,1,1,622,0,0,1,0,0,6,0,0,8,,,,,,
18093.302676,0.005556,1,1,116,3,2,3,2,2,8,1,1,8,,,,,,
28449.351387,0.355556,1,1,348,0,0,1,0,0,9,0,0,8,,,,,,
28536.755325,0.355556,0,1,348,0,0,1,0,0,9,0,0,8,,,,,,
24575.429129,0.351290,1,1,348,0,1,1,0,0,9,0,0,8,,,,,,
27834.438812,0.087976,1,0,491,2,1,3,0,1,6,0,1,5,,,,,,
28445.061391,0.355556,1,1,348,0,0,1,0,0,10,0,0,8,,,,,,
28494.650653,0.355556,1,1,348,0,0,1,0,0,10,0,0,9,,,,,,
29745.632205,0.348095,1,0,25,3,1,1,0,1,17,0,0,2,,,,,,
28700.183363,0.378651,1,0,25,3,1,1,0,1,19,0,0,2,,,,,,
26529.107773,0.025476,0,1,514,3,0,1,0,2,35,1,1,9,,,,,,
17866.252523,0.035556,0,1,61,2,2,4,0,2,3,1,1,4,,,,,,
28782.422188,0.378651,0,0,25,3,1,1,0,1,19,0,0,2,,,,,,
28443.509719,0.328175,1,0,20,3,1,1,1,1,19,0,0,2,,,,,,
28820.097182,0.365556,1,0,20,3,1,1,0,0,22,0,0,2,,,,,,
28748.940460,0.378651,1,0,25,3,1,1,0,1,19,0,0,9,,,,,,
28830.852454,0.380317,1,0,25,3,1,1,0,1,23,0,0,2,,,,,,
9373.102999,0.400000,,,,,,,,,,1,0,4,2,1,2,2,0,7
5722.869870,0.375198,,,,,,,,,,1,0,4,2,2,2,2,0,7
4366.179469,0.030556,,,,,,,,,,0,1,2,2,2,2,2,0,9
4848.693213,0.031250,,,,,,,,,,0,1,0,0,1,1,0,2,1
6538.670169,0.480000,,,,,,,,,,0,0,4,2,0,2,2,2,7
4425.775533,0.030556,,,,,,,,,,1,1,5,2,2,2,2,0,7
6432.963722,0.375198,,,,,,,,,,1,0,4,2,2,2,2,0,5
5575.659698,0.375198,,,,,,,,,,1,0,4,2,2,1,2,0,7
5947.819589,0.455198,,,,,,,,,,1,0,3,2,2,1,2,0,9
5676.191801,0.375198,,,,,,,,,,1,0,4,2,2,1,2,0,6
5331.920696,0.255556,,,,,,,,,,1,0,5,2,2,1,2,0,7
6079.039625,0.375198,,,,,,,,,,1,0,4,2,2,1,1,0,7
6726.877051,0.425000,,,,,,,,,,1,0,4,1,0,1,2,0,7
6429.200574,0.375198,,,,,,,,,,1,0,4,2,2,1,2,0,5
6698.932972,0.375198,,,,,,,,,,1,0,4,2,2,1,1,0,3
6271.679467,0.375198,,,,,,,,,,1,0,4,2,2,4,1,1,9
8471.421139,0.469091,,,,,,,,,,0,1,8,2,0,2,0,0,4
5334.703711,0.375198,,,,,,,,,,1,0,4,2,2,1,2,0,10
5198.458472,0.375198,,,,,,,,,,1,0,4,2,2,1,2,0,9
6456.670084,0.455198,,,,,,,,,,1,0,3,1,2,1,2,0,8
6437.796012,0.375198,,,,,,,,,,1,0,4,2,2,1,1,0,9
8730.855625,0.444091,,,,,,,,,,0,0,5,0,1,5,2,1,2
6466.503659,0.292897,,,,,,,,,,0,1,6,0,2,5,2,1,4
6352.782730,0.444091,,,,,,,,,,0,0,5,2,1,5,2,1,2
6769.426258,0.444091,,,,,,,,,,0,0,5,2,1,5,2,1,3
4453.307189,0.081250,,,,,,,,,,0,1,3,2,0,1,2,0,10
6302.836046,0.444091,,,,,,,,,,0,0,5,2,1,4,2,1,2
7014.730820,0.444091,,,,,,,,,,0,0,4,1,1,4,2,1,2
5576.835488,0.301667,,,,,,,,,,1,0,5,2,1,4,2,1,2
5225.721626,0.031250,,,,,,,,,,1,1,2,0,1,2,1,1,2
6767.912244,0.444091,,,,,,,,,,0,0,5,2,1,4,1,1,2
7614.366314,0.444091,,,,,,,,,,0,0,7,2,1,4,2,0,2
5951.177100,0.455000,,,,,,,,,,0,0,1,1,1,2,2,2,3
7476.003831,0.469091,,,,,,,,,,1,0,0,1,0,3,1,1,10
6455.194254,0.031250,,,,,,,,,,1,1,6,0,0,1,1,0,1
6353.792986,0.480198,,,,,,,,,,0,1,10,0,2,5,2,2,6
5469.002378,0.316667,,,,,,,,,,1,0,5,1,1,4,2,1,4
6595.525571,0.480198,,,,,,,,,,0,0,1,1,2,2,2,1,3
6314.805138,0.250341,,,,,,,,,,0,1,6,1,1,2,1,1,10
7232.831561,0.444091,,,,,,,,,,0,0,1,1,1,2,0,1,3
7340.920193,0.469091,,,,,,,,,,0,0,0,0,0,5,2,0,5
6520.779236,0.455000,,,,,,,,,,0,0,1,1,1,2,2,2,2
8745.429627,0.484289,,,,,,,,,,1,0,0,1,2,3,0,1,6
8556.435070,0.275341,,,,,,,,,,0,1,6,1,0,2,1,0,1
6998.749360,0.484289,,,,,,,,,,1,0,2,1,2,3,0,1,6
6627.751960,0.480198,,,,,,,,,,1,0,2,1,2,3,2,0,6
6672.078072,0.455198,,,,,,,,,,1,0,3,1,2,3,2,0,6
4826.953278,0.055556,,,,,,,,,,1,1,2,1,2,3,2,0,6
6096.263865,0.286250,,,,,,,,,,0,1,6,0,0,3,2,2,1
7514.879728,0.480198,,,,,,,,,,1,0,2,1,2,3,2,0,10
6757.524343,0.455198,,,,,,,,,,1,0,3,1,2,3,2,0,5
6866.414156,0.031250,,,,,,,,,,0,1,0,1,1,1,0,0,1
7119.341603,0.469091,,,,,,,,,,0,1,9,1,0,2,1,2,2
7434.329671,0.484289,,,,,,,,,,1,0,2,1,2,3,1,0,6
7722.291451,0.480198,,,,,,,,,,1,0,2,1,2,3,2,0,7
6968.244011,0.480198,,,,,,,,,,1,0,2,0,2,3,2,0,6
4722.920428,0.255556,,,,,,,,,,1,0,5,1,2,3,2,2,6
4441.175686,0.056250,,,,,,,,,,1,1,9,0,0,3,2,1,8
6362.875903,0.480198,,,,,,,,,,1,0,2,0,2,1,2,0,6
7325.692652,0.480198,,,,,,,,,,1,0,2,2,2,1,2,0,6
7084.882637,0.480198,,,,,,,,,,1,0,2,0,2,1,2,0,3
7785.593276,0.484289,,,,,,,,,,1,0,2,0,2,1,0,0,1
7058.244828,0.484091,,,,,,,,,,1,0,2,0,0,1,2,0,6
6588.626532,0.480198,,,,,,,,,,1,0,2,0,2,5,2,0,8
9157.389947,0.484289,,,,,,,,,,0,1,8,2,2,2,1,1,7
6318.361638,0.114646,,,,,,,,,,0,1,4,2,2,5,1,1,7
4501.267589,0.056250,,,,,,,,,,0,1,3,1,1,5,2,2,7
5903.805296,0.480198,,,,,,,,,,0,1,9,2,2,1,2,1,7
6388.736261,0.480198,,,,,,,,,,0,1,9,2,2,1,2,1,8
6485.357872,0.455000,,,,,,,,,,0,0,10,1,1,5,2,2,5
5540.769802,0.005556,,,,,,,,,,1,1,3,0,2,2,0,1,5
7284.398218,0.480198,,,,,,,,,,0,1,8,2,2,1,2,2,7
6831.493639,0.480198,,,,,,,,,,0,1,8,2,2,1,2,1,9
5980.954605,0.430000,,,,,,,,,,1,0,3,0,1,2,2,2,10
7315.893086,0.480198,,,,,,,,,,0,1,10,2,2,1,2,1,7
6594.215540,0.075000,,,,,,,,,,1,0,7,2,2,1,0,0,1
8133.523544,0.444091,,,,,,,,,,0,1,8,2,1,4,2,1,2
7695.877949,0.480198,,,,,,,,,,0,1,9,1,2,1,2,1,7
6860.793065,0.255556,,,,,,,,,,1,0,5,0,2,3,0,0,7
6032.484419,0.480198,,,,,,,,,,0,1,8,2,2,1,2,1,7
5818.378509,0.480198,,,,,,,,,,0,1,10,2,2,1,2,1,6
7588.536320,0.480198,,,,,,,,,,0,1,9,2,2,1,2,1,6
6900.996327,0.480198,,,,,,,,,,0,1,10,2,2,1,2,1,5
6925.107265,0.480198,,,,,,,,,,0,1,9,2,2,1,2,0,6
6687.657350,0.480198,,,,,,,,,,0,1,10,2,2,2,2,1,6
5896.229908,0.480198,,,,,,,,,,0,1,10,2,2,1,2,2,8
6453.981720,0.480198,,,,,,,,,,0,1,8,2,2,1,2,1,6
5321.609331,0.160556,,,,,,,,,,0,1,4,2,2,3,2,1,10
3876.799964,0.256389,,,,,,,,,,0,1,5,2,2,3,2,1,9
4598.218667,0.481389,,,,,,,,,,0,1,8,2,2,3,2,1,9
5258.806602,0.114646,,,,,,,,,,0,1,4,0,2,1,0,1,9
4458.913776,0.411944,,,,,,,,,,0,1,7,2,2,3,2,1,9
4734.178284,0.455000,,,,,,,,,,0,0,7,0,1,3,2,1,9
3692.490808,0.031250,,,,,,,,,,1,1,5,0,0,5,1,1,8
4499.427179,0.411944,,,,,,,,,,0,1,7,2,2,3,2,1,8
4494.786260,0.411944,,,,,,,,,,0,1,7,2,2,4,2,1,8
3527.374367,0.135556,,,,,,,,,,0,1,4,2,2,3,2,1,9
4512.687631,0.031250,,,,,,,,,,1,0,10,2,0,5,2,0,3
4584.980848,0.481389,,,,,,,,,,0,1,10,2,2,3,2,1,9
4604.942220,0.481389,,,,,,,,,,0,1,9,2,2,3,2,1,9
4437.064780,0.436944,,,,,,,,,,0,1,7,2,2,3,2,1,10
4192.322096,0.311944,,,,,,,,,,0,1,6,2,2,3,2,0,10
4185.100577,0.286944,,,,,,,,,,0,1,6,2,2,3,2,1,9
4588.436315,0.481389,,,,,,,,,,0,1,8,2,2,3,2,1,10
4693.832053,0.291035,,,,,,,,,,0,1,6,2,2,3,1,1,10
4565.717792,0.481389,,,,,,,,,,0,1,10,2,2,3,2,1,10
4166.137804,0.311944,,,,,,,,,,0,1,6,2,2,3,2,1,10
3967.672389,0.031250,,,,,,,,,,1,0,8,0,1,1,0,2,5
4409.464610,0.436944,,,,,,,,,,0,1,7,2,2,2,2,1,10
4398.994658,0.436944,,,,,,,,,,0,1,7,2,2,4,2,1,10
4410.535071,0.436944,,,,,,,,,,0,1,7,0,2,4,2,1,10
4529.479598,0.481389,,,,,,,,,,0,1,9,2,2,4,2,1,10
2716.839730,0.055556,,,,,,,,,,1,1,7,2,2,4,2,1,10
5140.399124,0.031250,,,,,,,,,,1,1,3,0,0,3,1,0,6
5863.531961,0.485480,,,,,,,,,,1,0,2,1,2,4,1,1,6
4878.535469,0.485480,,,,,,,,,,1,0,2,1,2,4,1,1,5
3261.263204,0.005556,,,,,,,,,,1,1,2,2,2,4,1,1,5
