time_ms,accuracy,compute_similarities_with_state_decision_0,compute_similarities_with_state_decision_1,compute_similarities_with_state_threshold_0,parse_embedding_decision_0,parse_embedding_decision_1,parse_embedding_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,idx,qos_loss,exact_accuracy
3428.422653,0.194430,4,2,3,2,2,8,0,1,4,,0.207570,0.402000
4086.867650,0.187049,1,2,3,0,2,4,0,1,4,,0.214951,0.402000
3796.988238,0.232081,4,0,4,2,2,8,0,1,4,,0.169919,0.402000
1950.149511,0.164556,4,4,5,2,1,9,1,0,10,,0.237444,0.402000
5764.803719,0.400095,4,0,3,2,2,8,0,0,5,,0.001905,0.402000
2599.031215,0.156016,3,3,3,1,1,7,1,1,1,,0.245984,0.402000
5761.985803,0.400095,4,0,3,2,2,8,0,1,8,,0.001905,0.402000
5750.785714,0.400095,5,0,3,2,2,8,0,0,4,,0.001905,0.402000
4995.587266,0.314738,0,5,5,1,0,8,0,0,2,,0.087262,0.402000
4710.325757,0.319817,1,5,5,2,1,2,0,0,2,,0.082183,0.402000
5727.008944,0.399381,4,0,3,2,2,8,0,0,0,,0.002619,0.402000
5028.146477,0.399452,5,3,5,2,2,10,0,0,1,,0.002548,0.402000
4963.152901,0.399452,5,3,5,2,2,10,0,0,4,,0.002548,0.402000
4211.491045,0.168389,1,1,2,0,1,5,1,1,5,,0.233611,0.402000
3478.347858,0.144859,4,4,2,0,0,4,0,1,1,,0.257141,0.402000
5031.621550,0.399452,4,3,5,2,2,10,0,0,4,,0.002548,0.402000
6489.501955,0.377929,5,3,5,0,2,10,0,0,4,,0.024071,0.402000
3286.289747,0.216135,5,3,1,2,2,5,0,1,4,,0.185865,0.402000
4748.703861,0.366357,5,4,5,2,2,10,0,0,4,,0.035643,0.402000
2587.898466,0.156016,3,3,3,1,1,7,1,1,1,,0.245984,0.402000
4447.062602,0.171636,1,4,5,0,0,7,0,1,4,,0.230364,0.402000
5011.757532,0.399452,5,3,3,2,2,10,0,0,4,,0.002548,0.402000
4763.288119,0.389452,1,3,5,2,2,10,1,0,1,,0.012548,0.402000
4989.893529,0.399452,5,3,5,2,2,8,0,0,4,,0.002548,0.402000
6979.514134,0.368286,1,2,5,0,0,2,0,0,0,,0.033714,0.402000
5137.290533,0.347929,2,2,3,1,2,3,0,1,7,,0.054071,0.402000
7454.855051,0.353714,1,1,1,0,0,8,0,0,9,,0.048286,0.402000
4718.963549,0.366357,5,4,5,2,2,10,0,0,5,,0.035643,0.402000
2924.451722,0.154556,1,4,1,2,0,2,1,0,8,,0.247444,0.402000
3443.978549,0.194430,5,2,5,2,2,10,0,1,4,,0.207570,0.402000
3230.725026,0.216135,5,3,5,2,2,10,0,1,4,,0.185865,0.402000
5279.370295,0.361714,2,1,3,2,1,10,1,0,2,,0.040286,0.402000
4101.215521,0.189430,1,2,3,0,2,4,0,1,4,,0.212570,0.402000
5751.195116,0.399381,5,0,3,2,2,10,0,0,6,,0.002619,0.402000
3472.044852,0.168859,0,2,5,2,0,7,0,1,3,,0.233141,0.402000
4967.494828,0.315214,0,5,5,1,0,8,0,0,2,,0.086786,0.402000
4695.210990,0.319817,1,5,5,2,1,2,0,0,2,,0.082183,0.402000
5760.455285,0.400095,4,0,3,2,2,8,0,0,0,,0.001905,0.402000
5042.792702,0.398976,5,3,5,2,2,10,0,0,1,,0.003024,0.402000
5748.954793,0.400095,4,0,3,2,2,8,0,0,4,,0.001905,0.402000
3780.136299,0.144859,4,4,2,0,0,4,0,1,1,,0.257141,0.402000
5748.719144,0.400095,4,0,3,2,2,7,0,0,4,,0.001905,0.402000
5747.535596,0.400095,0,0,3,2,2,7,0,0,4,,0.001905,0.402000
5772.525534,0.400095,0,0,2,2,2,7,0,0,5,,0.001905,0.402000
3804.274473,0.232081,4,0,3,2,2,7,0,1,4,,0.169919,0.402000
4223.953636,0.230825,0,0,3,1,2,7,0,1,4,,0.171175,0.402000
5527.192507,0.367429,0,1,3,2,2,6,0,0,4,,0.034571,0.402000
5730.846263,0.400095,0,0,4,2,2,3,0,0,4,,0.001905,0.402000
5732.515706,0.400095,0,0,4,2,2,3,0,0,7,,0.001905,0.402000
5722.214249,0.400095,0,0,3,2,2,9,0,0,5,,0.001905,0.402000
5739.056130,0.400095,0,0,3,2,2,5,0,0,5,,0.001905,0.402000
5731.243542,0.400095,3,0,3,2,2,5,0,0,5,,0.001905,0.402000
4441.133650,0.171636,1,4,5,0,0,7,0,1,4,,0.230364,0.402000
5795.701436,0.400095,0,0,3,2,1,9,0,0,0,,0.001905,0.402000
5729.167635,0.400095,1,0,3,2,2,9,0,0,4,,0.001905,0.402000
4442.090524,0.313873,0,0,3,2,2,9,1,0,5,,0.088127,0.402000
5731.760269,0.400095,0,0,3,2,2,3,0,0,5,,0.001905,0.402000
5740.299413,0.400095,0,0,3,2,2,9,0,0,4,,0.001905,0.402000
4235.093335,0.277970,0,0,3,2,2,3,0,1,5,,0.124030,0.402000
5140.004503,0.346262,2,2,3,1,2,3,0,1,7,,0.055738,0.402000
5738.999345,0.400095,0,0,4,2,2,9,0,0,5,,0.001905,0.402000
4467.871325,0.313873,0,0,5,2,2,9,1,0,5,,0.088127,0.402000
6884.817197,0.402095,0,0,0,0,0,0,0,0,0,1,0.000000,0.402000
5309.732669,0.402095,0,0,0,1,1,0,0,0,0,2,0.000000,0.402000
4730.714600,0.399381,0,0,0,2,2,0,0,0,0,3,0.002619,0.402000
6421.513711,0.353714,1,1,0,0,0,0,0,0,0,4,0.048286,0.402000
5031.925770,0.353714,1,1,0,1,1,0,0,0,0,5,0.048286,0.402000
4492.645775,0.366714,1,1,0,2,2,0,0,0,0,6,0.035286,0.402000
5959.378207,0.368286,2,2,0,0,0,0,0,0,0,7,0.033714,0.402000
4712.047126,0.368286,2,2,0,1,1,0,0,0,0,8,0.033714,0.402000
4248.215114,0.390429,2,2,0,2,2,0,0,0,0,9,0.011571,0.402000
5489.450811,0.377929,3,3,0,0,0,0,0,0,0,10,0.024071,0.402000
4378.868816,0.377929,3,3,0,1,1,0,0,0,0,11,0.024071,0.402000
3986.282357,0.399452,3,3,0,2,2,0,0,0,0,12,0.002548,0.402000
5027.914667,0.359690,4,4,0,0,0,0,0,0,0,13,0.042310,0.402000
4055.584876,0.359690,4,4,0,1,1,0,0,0,0,14,0.042310,0.402000
3725.670303,0.366357,4,4,0,2,2,0,0,0,0,15,0.035643,0.402000
4545.908301,0.314738,5,5,0,0,0,0,0,0,0,16,0.087262,0.402000
3730.977972,0.314738,5,5,0,1,1,0,0,0,0,17,0.087262,0.402000
3456.809679,0.319817,5,5,0,2,2,0,0,0,0,18,0.082183,0.402000
6887.326385,0.402095,0,0,0,0,0,0,0,0,0,19,0.000000,0.402000
