time_ms,accuracy,compute_similarities_with_state_decision_0,compute_similarities_with_state_decision_1,compute_similarities_with_state_threshold_0,parse_embedding_decision_0,parse_embedding_decision_1,parse_embedding_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,idx,qos_loss,exact_accuracy
6285.097838,0.299095,1,1,3,0,0,1,0,1,6,,0.102905,0.402000
5558.995593,0.299095,1,1,2,1,0,1,0,1,6,,0.102905,0.402000
5379.648967,0.384079,1,0,5,2,0,5,0,0,10,,0.017921,0.402000
4581.892784,0.393857,2,0,5,1,1,10,0,0,5,,0.008143,0.402000
4859.543016,0.388079,2,0,3,1,1,10,0,0,5,,0.013921,0.402000
2765.594547,0.163543,0,2,5,2,2,3,1,1,4,,0.238457,0.402000
4100.789733,0.151825,2,1,2,0,0,1,0,1,0,,0.250175,0.402000
4503.595612,0.390857,2,1,5,1,1,10,0,0,3,,0.011143,0.402000
4595.845052,0.360190,2,1,4,1,1,10,0,0,5,,0.041810,0.402000
4496.855473,0.349857,2,1,5,1,1,10,0,0,2,,0.052143,0.402000
4412.292451,0.373857,2,2,5,1,1,10,0,0,3,,0.028143,0.402000
3983.151468,0.383857,2,2,5,2,1,10,0,0,3,,0.018143,0.402000
4016.325039,0.383857,2,2,5,2,1,9,0,0,3,,0.018143,0.402000
4033.301506,0.383857,2,1,5,2,1,10,0,0,3,,0.018143,0.402000
5454.722635,0.373857,2,2,5,0,1,10,0,0,3,,0.028143,0.402000
4782.311311,0.169098,0,0,3,0,2,9,1,1,7,,0.232902,0.402000
4812.530287,0.242654,0,1,5,1,0,4,1,0,6,,0.159346,0.402000
3980.959127,0.383857,2,2,5,2,2,9,0,0,3,,0.018143,0.402000
3991.537518,0.383857,2,2,5,2,2,10,0,0,3,,0.018143,0.402000
3976.729239,0.383857,2,2,5,2,2,9,0,0,2,,0.018143,0.402000
3992.511207,0.383857,2,2,4,2,2,8,0,0,2,,0.018143,0.402000
3976.634692,0.383857,2,2,5,2,2,10,0,0,2,,0.018143,0.402000
3987.147113,0.383857,2,2,5,2,2,10,0,0,4,,0.018143,0.402000
3981.579173,0.383857,2,2,4,2,2,10,0,0,2,,0.018143,0.402000
3989.869445,0.383857,2,2,5,2,2,10,0,0,1,,0.018143,0.402000
3976.209040,0.383857,2,2,5,2,2,7,0,0,2,,0.018143,0.402000
2722.111466,0.132431,1,1,2,2,2,7,0,1,2,,0.269569,0.402000
5117.211744,0.380746,1,2,1,0,2,7,0,0,2,,0.021254,0.402000
4537.340918,0.412762,0,2,5,2,2,7,0,0,2,,0.000000,0.402000
3988.971424,0.383857,2,2,5,2,2,7,0,0,4,,0.018143,0.402000
4337.752899,0.344079,1,2,5,2,2,7,0,0,2,,0.057921,0.402000
3972.269640,0.383857,2,2,5,2,2,7,0,0,0,,0.018143,0.402000
6246.279293,0.299095,1,1,3,0,0,1,0,1,6,,0.102905,0.402000
5502.504113,0.299095,1,1,2,1,0,1,0,1,6,,0.102905,0.402000
5317.495608,0.384079,1,0,5,2,0,5,0,0,10,,0.017921,0.402000
4487.327186,0.393857,2,0,5,1,1,10,0,0,5,,0.008143,0.402000
4868.332988,0.388079,2,0,3,1,1,10,0,0,5,,0.013921,0.402000
2744.896278,0.163543,0,2,5,2,2,3,1,1,4,,0.238457,0.402000
4072.596735,0.151825,2,1,2,0,0,1,0,1,0,,0.250175,0.402000
4491.336700,0.390857,2,1,5,1,1,10,0,0,3,,0.011143,0.402000
4563.244065,0.423317,2,0,5,1,1,10,0,0,7,,0.000000,0.402000
4731.559827,0.234082,0,1,5,1,0,4,1,0,6,,0.167918,0.402000
4589.948976,0.397746,2,0,5,1,1,9,0,0,5,,0.004254,0.402000
4777.183726,0.169098,0,0,3,0,2,9,1,1,7,,0.232902,0.402000
4472.067667,0.383857,2,0,5,1,1,10,0,0,4,,0.018143,0.402000
4938.203268,0.368079,1,0,5,1,1,10,0,0,4,,0.033921,0.402000
4486.476144,0.393857,2,0,5,1,1,9,0,0,4,,0.008143,0.402000
4687.787099,0.392762,2,0,4,1,1,10,0,0,5,,0.009238,0.402000
4522.235699,0.392429,2,0,5,1,1,10,0,0,3,,0.009571,0.402000
4464.973654,0.393857,2,0,5,1,1,10,0,1,7,,0.008143,0.402000
4117.829582,0.337762,2,0,5,1,1,10,0,1,6,,0.064238,0.402000
4384.959392,0.390857,2,0,5,1,1,8,0,1,7,,0.011143,0.402000
5290.685967,0.367190,2,0,5,0,1,8,0,1,7,,0.034810,0.402000
4599.034725,0.407746,2,0,5,1,1,9,0,1,7,,0.000000,0.402000
3964.888033,0.322206,2,0,5,1,2,8,0,1,6,,0.079794,0.402000
4635.243602,0.281492,1,2,1,1,0,1,0,1,5,,0.120508,0.402000
5729.367519,0.407190,2,0,4,0,0,4,1,0,2,,0.000000,0.402000
2609.384950,0.159812,2,0,5,1,1,8,1,1,5,,0.242188,0.402000
4487.163086,0.394746,2,0,5,1,1,8,0,1,8,,0.007254,0.402000
4446.361423,0.393857,2,0,4,1,1,8,0,1,7,,0.008143,0.402000
2961.627222,0.243873,2,0,5,2,1,8,0,1,4,,0.158127,0.402000
4375.402516,0.426317,2,0,4,2,0,9,0,0,0,,0.000000,0.402000
3440.824944,0.169098,0,0,5,1,1,9,1,1,2,,0.232902,0.402000
6567.944219,0.299095,1,1,3,0,0,1,0,1,6,,0.102905,0.402000
5710.822933,0.299095,1,1,2,1,0,1,0,1,6,,0.102905,0.402000
5463.193155,0.384079,1,0,5,2,0,5,0,0,10,,0.017921,0.402000
4476.041491,0.393857,2,0,5,1,1,10,0,0,5,,0.008143,0.402000
