idx,time_ms,accuracy,compute_similarities_with_state_decision_0,compute_similarities_with_state_decision_1,compute_similarities_with_state_threshold_0,parse_embedding_decision_0,parse_embedding_decision_1,parse_embedding_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,qos_loss,exact_accuracy
1,7632.045700,0.456651,0,0,0,0,0,0,0,0,0,0.000000,0.402000
2,5316.297301,0.456651,0,0,0,1,1,0,0,0,0,0.000000,0.402000
3,4746.254511,0.436651,0,0,0,2,2,0,0,0,0,0.000000,0.402000
4,6147.277346,0.364079,1,1,0,0,0,0,0,0,0,0.037921,0.402000
5,4822.096045,0.364079,1,1,0,1,1,0,0,0,0,0.037921,0.402000
6,4327.550859,0.344079,1,1,0,2,2,0,0,0,0,0.057921,0.402000
7,5457.094368,0.373857,2,2,0,0,0,0,0,0,0,0.028143,0.402000
8,4360.256296,0.373857,2,2,0,1,1,0,0,0,0,0.028143,0.402000
9,3959.985998,0.383857,2,2,0,2,2,0,0,0,0,0.018143,0.402000
10,6812.102722,0.456651,0,0,0,0,0,0,0,0,0,0.000000,0.402000
