time_ms,accuracy,compute_similarities_with_state_decision_0,compute_similarities_with_state_decision_1,compute_similarities_with_state_threshold_0,parse_embedding_decision_0,parse_embedding_decision_1,parse_embedding_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,idx,qos_loss,exact_accuracy
4184.372827,0.122222,0,2,4,2,0,8,1,0,9,,0.279778,0.402000
4074.263214,0.342857,2,2,4,2,0,8,1,0,3,,0.059143,0.402000
4358.758237,0.329524,1,2,2,1,2,3,1,0,0,,0.072476,0.402000
4421.978271,0.289524,1,2,4,2,0,8,1,0,3,,0.112476,0.402000
4595.189113,0.349524,1,0,2,0,2,2,1,0,4,,0.052476,0.402000
6447.449232,0.366667,1,0,2,0,0,2,1,0,4,,0.035333,0.402000
4986.149052,0.329524,2,0,2,0,2,4,1,0,4,,0.072476,0.402000
3259.251206,0.158889,0,1,3,1,2,5,0,1,3,,0.243111,0.402000
6551.374571,0.366667,0,0,2,0,0,2,1,0,4,,0.035333,0.402000
3312.961861,0.306667,2,2,2,2,2,2,0,1,5,,0.095333,0.402000
3491.607399,0.190000,0,2,5,1,2,7,0,1,3,,0.212000,0.402000
6542.886834,0.269524,1,1,2,0,0,2,1,0,4,,0.132476,0.402000
5446.922771,0.486667,0,0,3,1,1,1,0,0,5,,0.000000,0.402000
3263.021276,0.198889,0,1,4,1,2,8,1,0,9,,0.203111,0.402000
3566.267226,0.118889,1,0,4,1,2,10,0,1,2,,0.283111,0.402000
5922.773744,0.389524,2,1,2,0,0,1,1,0,2,,0.012476,0.402000
5163.036293,0.406667,1,0,3,2,1,1,0,0,5,,0.000000,0.402000
4286.918116,0.308889,1,0,3,2,1,1,0,1,5,,0.093111,0.402000
5090.520700,0.389524,1,0,3,2,1,1,0,0,1,,0.012476,0.402000
4705.237738,0.309524,1,0,3,2,2,1,0,0,5,,0.092476,0.402000
4539.738296,0.369524,1,2,5,2,1,7,0,1,9,,0.032476,0.402000
5022.260824,0.389524,1,0,5,2,1,1,0,0,5,,0.012476,0.402000
4165.197929,0.118889,0,1,4,0,1,6,0,1,0,,0.283111,0.402000
5151.497521,0.429524,1,0,3,2,1,1,0,0,8,,0.000000,0.402000
5333.917226,0.446667,0,0,3,2,1,1,0,0,1,,0.000000,0.402000
5262.880093,0.429524,1,0,3,1,1,1,0,1,8,,0.000000,0.402000
4789.758503,0.429524,1,0,3,2,1,10,0,0,8,,0.000000,0.402000
4725.542473,0.389524,1,0,2,2,1,10,0,0,8,,0.012476,0.402000
4834.046278,0.446667,0,0,3,2,1,10,0,0,8,,0.000000,0.402000
4447.291860,0.369524,2,0,3,2,1,10,0,0,8,,0.032476,0.402000
2758.777662,0.118889,1,0,3,2,1,10,1,0,8,,0.283111,0.402000
4171.778593,0.122222,0,2,4,2,0,8,1,0,9,,0.279778,0.402000
4072.056693,0.345714,2,2,4,2,0,8,1,0,3,,0.056286,0.402000
4295.291661,0.332381,1,2,2,1,2,3,1,0,0,,0.069619,0.402000
4376.842870,0.292381,1,2,4,2,0,8,1,0,3,,0.109619,0.402000
4572.829248,0.349524,1,0,2,0,2,2,1,0,4,,0.052476,0.402000
6267.972282,0.366667,1,0,2,0,0,2,1,0,4,,0.035333,0.402000
4897.156306,0.329524,2,0,2,0,2,4,1,0,4,,0.072476,0.402000
3181.462878,0.158889,0,1,3,1,2,5,0,1,3,,0.243111,0.402000
6413.716001,0.366667,0,0,2,0,0,2,1,0,4,,0.035333,0.402000
3280.114404,0.306667,2,2,2,2,2,2,0,1,5,,0.095333,0.402000
3410.757068,0.190000,0,2,5,1,2,7,0,1,3,,0.212000,0.402000
5779.902441,0.269524,1,1,2,0,0,2,1,0,4,,0.132476,0.402000
5344.376267,0.486667,0,0,3,1,1,1,0,0,5,,0.000000,0.402000
3180.888028,0.198889,0,1,4,1,2,8,1,0,9,,0.203111,0.402000
3385.102739,0.118889,1,0,4,1,2,10,0,1,2,,0.283111,0.402000
6520.931712,0.389524,2,1,2,0,0,1,1,0,2,,0.012476,0.402000
5082.086025,0.406667,1,0,3,2,1,1,0,0,5,,0.000000,0.402000
4479.176987,0.369524,1,2,5,2,1,7,0,1,9,,0.032476,0.402000
4063.805185,0.158889,0,1,4,0,1,6,0,1,0,,0.243111,0.402000
5367.282705,0.486667,0,0,3,1,1,1,0,0,1,,0.000000,0.402000
5324.953484,0.325714,2,2,3,0,2,9,1,0,0,,0.076286,0.402000
4901.529561,0.408889,0,0,3,1,1,1,0,1,6,,0.000000,0.402000
5751.244532,0.449524,0,2,5,0,2,6,0,0,9,,0.000000,0.402000
5349.662090,0.486667,0,0,3,1,1,1,0,0,4,,0.000000,0.402000
4296.177480,0.158889,1,1,2,0,0,7,1,1,1,,0.243111,0.402000
4370.623452,0.296667,0,0,2,1,1,2,1,0,5,,0.105333,0.402000
5335.957923,0.486667,0,0,3,1,1,9,0,0,5,,0.000000,0.402000
6264.026420,0.486667,0,0,2,1,0,4,0,0,5,,0.000000,0.402000
4420.497791,0.348889,0,0,3,1,1,6,0,1,5,,0.053111,0.402000
5262.348120,0.486667,0,0,3,1,2,9,0,0,5,,0.000000,0.402000
4107.323905,0.122222,0,2,4,2,0,8,1,0,9,,0.279778,0.402000
4030.630292,0.342857,2,2,4,2,0,8,1,0,3,,0.059143,0.402000
4249.476279,0.329524,1,2,2,1,2,3,1,0,0,,0.072476,0.402000
4331.269668,0.289524,1,2,4,2,0,8,1,0,3,,0.112476,0.402000
4527.365166,0.349524,1,0,2,0,2,2,1,0,4,,0.052476,0.402000
6221.456070,0.366667,1,0,2,0,0,2,1,0,4,,0.035333,0.402000
4858.884640,0.329524,2,0,2,0,2,4,1,0,4,,0.072476,0.402000
3155.647046,0.158889,0,1,3,1,2,5,0,1,3,,0.243111,0.402000
6387.323622,0.366667,0,0,2,0,0,2,1,0,4,,0.035333,0.402000
3243.676367,0.306667,2,2,2,2,2,2,0,1,5,,0.095333,0.402000
3397.732729,0.190000,0,2,5,1,2,7,0,1,3,,0.212000,0.402000
5742.910811,0.269524,1,1,2,0,0,2,1,0,4,,0.132476,0.402000
5297.063006,0.486667,0,0,3,1,1,1,0,0,5,,0.000000,0.402000
3159.680429,0.198889,0,1,4,1,2,8,1,0,9,,0.203111,0.402000
3363.124210,0.118889,1,0,4,1,2,10,0,1,2,,0.283111,0.402000
5731.532321,0.389524,2,1,2,0,0,1,1,0,2,,0.012476,0.402000
5050.609382,0.406667,1,0,3,2,1,1,0,0,5,,0.000000,0.402000
4425.754583,0.369524,1,2,5,2,1,7,0,1,9,,0.032476,0.402000
4060.233614,0.158889,0,1,4,0,1,6,0,1,0,,0.243111,0.402000
5307.433386,0.486667,0,0,3,1,1,1,0,0,1,,0.000000,0.402000
5284.338180,0.322857,2,2,3,0,2,9,1,0,0,,0.079143,0.402000
4871.563205,0.408889,0,0,3,1,1,1,0,1,6,,0.000000,0.402000
5708.654479,0.446667,0,2,5,0,2,6,0,0,9,,0.000000,0.402000
5306.173462,0.486667,0,0,3,1,1,1,0,0,4,,0.000000,0.402000
4338.431860,0.158889,1,1,2,0,0,7,1,1,1,,0.243111,0.402000
